"wikidata"	"wikidatalink"	"source_page"	"instance_of"	"part_of"	"subclass_of"	"eu"	"eu_wikipedia"	"es"	"es_wikipedia"	"en"	"en_wikipedia"	"fr"	"fr_wikipedia"	"it"	"it_wikipedia"	"de"	"de_wikipedia"
"Q2705600"	"https://wikidata.org/wiki/Q2705600"	"Disortografía"	"https://wikidata.org/wiki/Q7574983"	""	"https://wikidata.org/wiki/Q5282510"			"disortografía"	"https://es.wikipedia.org/wiki/Disortografía"	"dysorthography"	"https://en.wikipedia.org/wiki/Dysorthography"	"dysorthographie"	"https://fr.wikipedia.org/wiki/Dysorthographie"	"disortografia"	"https://it.wikipedia.org/wiki/Disortografia"	"Legasthenie"		
"Q742672"	"https://wikidata.org/wiki/Q742672"	"Discalculia"	"https://wikidata.org/wiki/Q79052868
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q860740
https://wikidata.org/wiki/Q845527
https://wikidata.org/wiki/Q12136"	"diskalkulia"	"https://eu.wikipedia.org/wiki/Diskalkulia"	"discalculia"	"https://es.wikipedia.org/wiki/Discalculia"	"dyscalculia"	"https://en.wikipedia.org/wiki/Dyscalculia"	"dyscalculie"	"https://fr.wikipedia.org/wiki/Dyscalculie"	"discalculia"	"https://it.wikipedia.org/wiki/Discalculia"	"Dyskalkulie"	"https://de.wikipedia.org/wiki/Dyskalkulie"	
"Q845224"	"https://wikidata.org/wiki/Q845224"	"Trastorno de ansiedad generalizada"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q544006
https://wikidata.org/wiki/Q12136"	"Antsietate-nahasmendu orokortu"	"https://eu.wikipedia.org/wiki/Antsietate-nahasmendu_orokortu"	"trastorno de ansiedad generalizada"	"https://es.wikipedia.org/wiki/Trastorno_de_ansiedad_generalizada"	"generalized anxiety disorder"	"https://en.wikipedia.org/wiki/Generalized_anxiety_disorder"	"anxiété généralisée"	"https://fr.wikipedia.org/wiki/Anxiété_généralisée"	"disturbo d'ansia generalizzato"	"https://it.wikipedia.org/wiki/Disturbo_d'ansia_generalizzato"	"generalisierte Angststörung"	"https://de.wikipedia.org/wiki/Generalisierte_Angststörung"	
"Q178190"	"https://wikidata.org/wiki/Q178190"	"Trastorno obsesivo-compulsivo"	""	"https://wikidata.org/wiki/Q59344393"	"https://wikidata.org/wiki/Q544006
https://wikidata.org/wiki/Q1201835
https://wikidata.org/wiki/Q55788492
https://wikidata.org/wiki/Q200779"	"nahasmendu obsesibo-konpultsibo"	"https://eu.wikipedia.org/wiki/Nahasmendu_obsesibo-konpultsibo"	"trastorno obsesivo-compulsivo"	"https://es.wikipedia.org/wiki/Trastorno_obsesivo-compulsivo"	"obsessive-compulsive disorder"	"https://en.wikipedia.org/wiki/Obsessive–compulsive_disorder"	"trouble obsessionnel compulsif"	"https://fr.wikipedia.org/wiki/Trouble_obsessionnel_compulsif"	"disturbo ossessivo-compulsivo"	"https://it.wikipedia.org/wiki/Disturbo_ossessivo-compulsivo"	"Zwangsstörung"	"https://de.wikipedia.org/wiki/Zwangsstörung"	
"Q2300749"	"https://wikidata.org/wiki/Q2300749"	"Trastorno de ansiedad por separación"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q544006
https://wikidata.org/wiki/Q3063847
https://wikidata.org/wiki/Q12136"	"Aldentze-antsietate"	"https://eu.wikipedia.org/wiki/Aldentze-antsietate"	"trastorno de ansiedad por separación"	"https://es.wikipedia.org/wiki/Trastorno_de_ansiedad_por_separación"	"separation anxiety disorder"	"https://en.wikipedia.org/wiki/Separation_anxiety_disorder"	"anxiété de séparation"	"https://fr.wikipedia.org/wiki/Anxiété_de_séparation"	"disturbo d'ansia da separazione"	"https://it.wikipedia.org/wiki/Disturbo_d'ansia_da_separazione"	"Trennungsangst"	"https://de.wikipedia.org/wiki/Trennungsangst"	
"Q188638"	"https://wikidata.org/wiki/Q188638"	"Trastornos del estado de ánimo"	""	""	""													
"Q131755"	"https://wikidata.org/wiki/Q131755"	"Trastorno bipolar"	""	""	""													
"Q4340209"	"https://wikidata.org/wiki/Q4340209"	"Depresión"	""	""	""													
"Q192692"	"https://wikidata.org/wiki/Q192692"	"Pesadilla"	""	""	"https://wikidata.org/wiki/Q36348"	"amesgaizto"	"https://eu.wikipedia.org/wiki/Amesgaizto"	"pesadilla"	"https://es.wikipedia.org/wiki/Pesadilla"	"nightmare"	"https://en.wikipedia.org/wiki/Nightmare"	"cauchemar"	"https://fr.wikipedia.org/wiki/Cauchemar"	"incubo"	"https://it.wikipedia.org/wiki/Incubo"	"Albtraum"	"https://de.wikipedia.org/wiki/Albtraum"	
"Q161790"	"https://wikidata.org/wiki/Q161790"	"Síndrome de Asperger"	"https://wikidata.org/wiki/Q12131
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q1436063
https://wikidata.org/wiki/Q12136"	"Asperger sindromea"	"https://eu.wikipedia.org/wiki/Asperger_sindrome"	"síndrome de Asperger"	"https://es.wikipedia.org/wiki/Síndrome_de_Asperger"	"Asperger syndrome"	"https://en.wikipedia.org/wiki/Asperger_syndrome"	"syndrome d'Asperger"	"https://fr.wikipedia.org/wiki/Syndrome_d'Asperger"	"sindrome di Asperger"	"https://it.wikipedia.org/wiki/Sindrome_di_Asperger"	"Asperger-Syndrom"	"https://de.wikipedia.org/wiki/Asperger-Syndrom"	
"Q188251"	"https://wikidata.org/wiki/Q188251"	"Gluten"	""	""	""													
"Q11088"	"https://wikidata.org/wiki/Q11088"	"Celiaquía"	""	""	""													
"Q19772377"	"https://wikidata.org/wiki/Q19772377"	"Sensibilidad al gluten no celíaca"	""	""	""													
"Q11088"	"https://wikidata.org/wiki/Q11088"	"Celiaquía"	""	""	""													
"Q927234"	"https://wikidata.org/wiki/Q927234"	"Broncodilatador"	"https://wikidata.org/wiki/Q41014950"	""	"https://wikidata.org/wiki/Q12140
https://wikidata.org/wiki/Q50429891
https://wikidata.org/wiki/Q3618576"	"Bronkozabaltzaile"	"https://eu.wikipedia.org/wiki/Bronkozabaltzaile"	"broncodilatador"	"https://es.wikipedia.org/wiki/Broncodilatador"	"bronchodilator"	"https://en.wikipedia.org/wiki/Bronchodilator"	"bronchodilatateur"	"https://fr.wikipedia.org/wiki/Bronchodilatateur"	"broncodilatatore"	"https://it.wikipedia.org/wiki/Broncodilatatore"	"Bronchospasmolytikum"	"https://de.wikipedia.org/wiki/Bronchodilatator"	
"Q208144"	"https://wikidata.org/wiki/Q208144"	"Neuroléptico"	"https://wikidata.org/wiki/Q41014950"	""	"https://wikidata.org/wiki/Q1941660
https://wikidata.org/wiki/Q1572854
https://wikidata.org/wiki/Q3706669
https://wikidata.org/wiki/Q728"	"Neuroleptiko"	"https://eu.wikipedia.org/wiki/Neuroleptiko"	"neuroléptico"	"https://es.wikipedia.org/wiki/Neuroléptico"	"antipsychotics"	"https://en.wikipedia.org/wiki/Antipsychotic"	"neuroleptique"	"https://fr.wikipedia.org/wiki/Neuroleptique"	"neurolettico"	"https://it.wikipedia.org/wiki/Neurolettico"	"Neuroleptikum"	"https://de.wikipedia.org/wiki/Neuroleptikum"	
"Q576618"	"https://wikidata.org/wiki/Q576618"	"Antiepiléptico"	"https://wikidata.org/wiki/Q41014950"	""	"https://wikidata.org/wiki/Q12140
https://wikidata.org/wiki/Q50429917"	"Antiepileptiko"	"https://eu.wikipedia.org/wiki/Antiepileptiko"	"antiepiléptico"	"https://es.wikipedia.org/wiki/Antiepiléptico"	"anticonvulsant agent"	"https://en.wikipedia.org/wiki/Anticonvulsant"	"antiépileptique"	"https://fr.wikipedia.org/wiki/Antiépileptique"	"anticonvulsivante"	"https://it.wikipedia.org/wiki/Anticonvulsivante"	"Antikonvulsivum"	"https://de.wikipedia.org/wiki/Antikonvulsivum"	
"Q221472"	"https://wikidata.org/wiki/Q221472"	"Síndrome X frágil"	"https://wikidata.org/wiki/Q929833
https://wikidata.org/wiki/Q42303753
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q8041560
https://wikidata.org/wiki/Q7113674
https://wikidata.org/wiki/Q55010089
https://wikidata.org/wiki/Q179630
https://wikidata.org/wiki/Q12136"	"X hauskorraren sindrome"	"https://eu.wikipedia.org/wiki/X_hauskorraren_sindrome"	"síndrome X frágil"	"https://es.wikipedia.org/wiki/Síndrome_X_frágil"	"fragile X syndrome"	"https://en.wikipedia.org/wiki/Fragile_X_syndrome"	"syndrome de l'X fragile"	"https://fr.wikipedia.org/wiki/Syndrome_de_l'X_fragile"	"sindrome dell'X fragile"	"https://it.wikipedia.org/wiki/Sindrome_dell'X_fragile"	"Fragiles-X-Syndrom"	"https://de.wikipedia.org/wiki/Fragiles-X-Syndrom"	
"Q194041"	"https://wikidata.org/wiki/Q194041"	"Fenilcetonuria"	"https://wikidata.org/wiki/Q42303753
https://wikidata.org/wiki/Q929833
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q239342
https://wikidata.org/wiki/Q5898279
https://wikidata.org/wiki/Q18558086
https://wikidata.org/wiki/Q12136"	"Fenilzetonuria"	"https://eu.wikipedia.org/wiki/Fenilzetonuria"	"Fenilcetonuria"	"https://es.wikipedia.org/wiki/Fenilcetonuria"	"phenylketonuria"	"https://en.wikipedia.org/wiki/Phenylketonuria"	"phénylcétonurie"	"https://fr.wikipedia.org/wiki/Phénylcétonurie"	"fenilchetonuria"	"https://it.wikipedia.org/wiki/Fenilchetonuria"	"Phenylketonurie"	"https://de.wikipedia.org/wiki/Phenylketonurie"	
"Q576349"	"https://wikidata.org/wiki/Q576349"	"Encefalopatía"	"https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q5062122
https://wikidata.org/wiki/Q12136"	"entzefalopatia"	"https://eu.wikipedia.org/wiki/Entzefalopatia"	"encefalopatía"	"https://es.wikipedia.org/wiki/Encefalopatía"	"encephalopathy"	"https://en.wikipedia.org/wiki/Encephalopathy"	"encéphalopathie"	"https://fr.wikipedia.org/wiki/Encéphalopathie"	"encefalopatia"	"https://it.wikipedia.org/wiki/Encefalopatia"	"Enzephalopathie"	"https://de.wikipedia.org/wiki/Enzephalopathie"	
"Q16499"	"https://wikidata.org/wiki/Q16499"	"Hipertiroidismo"	"https://wikidata.org/wiki/Q929833
https://wikidata.org/wiki/Q112193867"	""	"https://wikidata.org/wiki/Q6673122
https://wikidata.org/wiki/Q12136"	"hipertiroidismo"	"https://eu.wikipedia.org/wiki/Hipertiroidismo"	"hipertiroidismo"	"https://es.wikipedia.org/wiki/Hipertiroidismo"	"hyperthyroidism"	"https://en.wikipedia.org/wiki/Hyperthyroidism"	"hyperthyroïdie"	"https://fr.wikipedia.org/wiki/Hyperthyroïdie"	"ipertiroidismo"	"https://it.wikipedia.org/wiki/Ipertiroidismo"	"Hyperthyreose"	"https://de.wikipedia.org/wiki/Hyperthyreose"	
"Q61476"	"https://wikidata.org/wiki/Q61476"	"Ácido graso"	"https://wikidata.org/wiki/Q47154513"	"https://wikidata.org/wiki/Q14907443
https://wikidata.org/wiki/Q15333013
https://wikidata.org/wiki/Q22283269
https://wikidata.org/wiki/Q22290332
https://wikidata.org/wiki/Q21121305
https://wikidata.org/wiki/Q14864580
https://wikidata.org/wiki/Q14761972
https://wikidata.org/wiki/Q14860449
https://wikidata.org/wiki/Q21100400"	"https://wikidata.org/wiki/Q47147773
https://wikidata.org/wiki/Q192596
https://wikidata.org/wiki/Q11367
https://wikidata.org/wiki/Q63433687"	"Gantz-azido"	"https://eu.wikipedia.org/wiki/Gantz-azido"	"ácido graso"	"https://es.wikipedia.org/wiki/Ácido_graso"	"fatty acid"	"https://en.wikipedia.org/wiki/Fatty_acid"	"acide gras"	"https://fr.wikipedia.org/wiki/Acide_gras"	"acidi grassi"	"https://it.wikipedia.org/wiki/Acidi_grassi"	"Fettsäuren"	"https://de.wikipedia.org/wiki/Fettsäuren"	
"Q422112"	"https://wikidata.org/wiki/Q422112"	"Metilfenidato"	""	""	""													
"Q1105202"	"https://wikidata.org/wiki/Q1105202"	"Colaboración Cochrane"	"https://wikidata.org/wiki/Q163740
https://wikidata.org/wiki/Q2085381
https://wikidata.org/wiki/Q23905463"	""	""			"Cochrane"	"https://es.wikipedia.org/wiki/Colaboración_Cochrane"	"Cochrane"	"https://en.wikipedia.org/wiki/Cochrane_(organisation)"	"Cochrane"	"https://fr.wikipedia.org/wiki/Cochrane_(organisation)"	"Cochrane"	"https://it.wikipedia.org/wiki/Cochrane_(organizzazione)"	"Cochrane"	"https://de.wikipedia.org/wiki/Cochrane_(Organisation)"	
"Q179452"	"https://wikidata.org/wiki/Q179452"	"Anfetamina"	""	""	""													
"Q1706418"	"https://wikidata.org/wiki/Q1706418"	"Dextroanfetamina"	"https://wikidata.org/wiki/Q113145171"	""	"https://wikidata.org/wiki/Q179452"	"Dextroanfetamina"	"https://eu.wikipedia.org/wiki/Dextroanfetamina"	"dextroanfetamina"	"https://es.wikipedia.org/wiki/Dextroanfetamina"	"dextroamphetamine"	"https://en.wikipedia.org/wiki/Dextroamphetamine"	"dexedrine"	"https://fr.wikipedia.org/wiki/Dextroamphétamine"	"destroamfetamina"		"Dextroamphetamin"	"https://de.wikipedia.org/wiki/Dextroamphetamin"	
"Q422112"	"https://wikidata.org/wiki/Q422112"	"Metilfenidato"	""	""	""													
"Q179452"	"https://wikidata.org/wiki/Q179452"	"Anfetamina"	""	""	""													
"Q935761"	"https://wikidata.org/wiki/Q935761"	"Adderall"	"https://wikidata.org/wiki/Q12140
https://wikidata.org/wiki/Q169336"	""	""			"adderall"	"https://es.wikipedia.org/wiki/Adderall"	"Adderall"	"https://en.wikipedia.org/wiki/Adderall"	"Adderall"	"https://fr.wikipedia.org/wiki/Adderall"	"adderall"	"https://it.wikipedia.org/wiki/Adderall"	"Adderall"	"https://de.wikipedia.org/wiki/Adderall"	
"Q2085091"	"https://wikidata.org/wiki/Q2085091"	"Fármaco"	"https://wikidata.org/wiki/Q409205"	""	""			"fármaco"	"https://es.wikipedia.org/wiki/Fármaco"	"Pharmacon"	"https://en.wikipedia.org/wiki/Pharmacon"					"Pharmakon"		
"Q6558704"	"https://wikidata.org/wiki/Q6558704"	"Lisdexanfetamina"	"https://wikidata.org/wiki/Q113145171"	""	"https://wikidata.org/wiki/Q11173"			"lisdexanfetamina"	"https://es.wikipedia.org/wiki/Lisdexanfetamina"	"lisdexamfetamine"	"https://en.wikipedia.org/wiki/Lisdexamfetamine"	"lisdexamfétamine"	"https://fr.wikipedia.org/wiki/Lisdexamfétamine"	"Lisdexamfetamina"	"https://it.wikipedia.org/wiki/Lisdexamfetamina"	"Lisdexamfetamin"	"https://de.wikipedia.org/wiki/Lisdexamfetamin"	
"Q417240"	"https://wikidata.org/wiki/Q417240"	"Atomoxetina"	"https://wikidata.org/wiki/Q113145171"	""	"https://wikidata.org/wiki/Q11173"			"Atomoxetina"	"https://es.wikipedia.org/wiki/Atomoxetina"	"atomoxetine"	"https://en.wikipedia.org/wiki/Atomoxetine"	"atomoxétine"	"https://fr.wikipedia.org/wiki/Atomoxétine"	"atomoxetina"	"https://it.wikipedia.org/wiki/Atomoxetina"	"Atomoxetin"	"https://de.wikipedia.org/wiki/Atomoxetin"	
"Q5613599"	"https://wikidata.org/wiki/Q5613599"	"Guanfacina"	"https://wikidata.org/wiki/Q113145171"	""	"https://wikidata.org/wiki/Q11173"			"Guanfacina"	"https://es.wikipedia.org/wiki/Guanfacina"	"guanfacine"	"https://en.wikipedia.org/wiki/Guanfacine"	"Guanfacine"	"https://fr.wikipedia.org/wiki/Guanfacine"			"Guanfacin"	"https://de.wikipedia.org/wiki/Guanfacin"	
"Q5916200"	"https://wikidata.org/wiki/Q5916200"	"Inhibidor de la recaptación de noradrenalina"	""	""	""			"Inhibidor de la recaptación de noradrenalina"	"https://es.wikipedia.org/wiki/Inhibidor_de_la_recaptación_de_noradrenalina"									
"Q76560"	"https://wikidata.org/wiki/Q76560"	"Antidepresivo"	"https://wikidata.org/wiki/Q2585617"	""	"https://wikidata.org/wiki/Q12140
https://wikidata.org/wiki/Q12830468
https://wikidata.org/wiki/Q2913901"	"antidepresibo"	"https://eu.wikipedia.org/wiki/Antidepresibo"	"antidepresivo"	"https://es.wikipedia.org/wiki/Antidepresivo"	"antidepressant"	"https://en.wikipedia.org/wiki/Antidepressant"	"antidépresseur"	"https://fr.wikipedia.org/wiki/Antidépresseur"	"antidepressivo"	"https://it.wikipedia.org/wiki/Antidepressivo"	"Antidepressivum"	"https://de.wikipedia.org/wiki/Antidepressivum"	
"Q204711"	"https://wikidata.org/wiki/Q204711"	"Administración de Alimentos y Medicamentos"	""	""	""													
"Q30612"	"https://wikidata.org/wiki/Q30612"	"Ensayo clínico"	"https://wikidata.org/wiki/Q96273743"	"https://wikidata.org/wiki/Q5133849
https://wikidata.org/wiki/Q2198549"	"https://wikidata.org/wiki/Q7247798
https://wikidata.org/wiki/Q1331083
https://wikidata.org/wiki/Q27166192
https://wikidata.org/wiki/Q4892264
https://wikidata.org/wiki/Q124222085"	"saio kliniko"		"ensayo clínico"	"https://es.wikipedia.org/wiki/Ensayo_clínico"	"clinical trial"	"https://en.wikipedia.org/wiki/Clinical_trial"	"essai clinique"	"https://fr.wikipedia.org/wiki/Essai_clinique"	"studio clinico"	"https://it.wikipedia.org/wiki/Studio_clinico"	"klinische Studie"	"https://de.wikipedia.org/wiki/Klinische_Studie"	
"Q412221"	"https://wikidata.org/wiki/Q412221"	"Clonidina"	"https://wikidata.org/wiki/Q113145171"	""	"https://wikidata.org/wiki/Q11173"			"clonidina"	"https://es.wikipedia.org/wiki/Clonidina"	"clonidine"	"https://en.wikipedia.org/wiki/Clonidine"	"clonidine"	"https://fr.wikipedia.org/wiki/Clonidine"	"clonidina"	"https://it.wikipedia.org/wiki/Clonidina"	"Clonidin"	"https://de.wikipedia.org/wiki/Clonidin"	
"Q834280"	"https://wikidata.org/wiki/Q834280"	"Bupropión"	"https://wikidata.org/wiki/Q113145171"	""	"https://wikidata.org/wiki/Q11173"	"Bupropion"	"https://eu.wikipedia.org/wiki/Bupropion"	"Bupropion"	"https://es.wikipedia.org/wiki/Bupropión"	"bupropion"	"https://en.wikipedia.org/wiki/Bupropion"	"bupropione"	"https://fr.wikipedia.org/wiki/Bupropion"	"bupropione"	"https://it.wikipedia.org/wiki/Bupropione"	"Bupropion"	"https://de.wikipedia.org/wiki/Bupropion"	
"Q418970"	"https://wikidata.org/wiki/Q418970"	"Reboxetina"	"https://wikidata.org/wiki/Q59199015"	""	"https://wikidata.org/wiki/Q11173
https://wikidata.org/wiki/Q12140"			"Reboxetina"	"https://es.wikipedia.org/wiki/Reboxetina"	"(RS,RS)-reboxetine"	"https://en.wikipedia.org/wiki/Reboxetine"	"(RS,RS)-réboxétine"	"https://fr.wikipedia.org/wiki/Réboxétine"	"Reboxetina"	"https://it.wikipedia.org/wiki/Reboxetina"	"(RS,RS)-Reboxetin"	"https://de.wikipedia.org/wiki/Reboxetin"	
"Q412443"	"https://wikidata.org/wiki/Q412443"	"Risperidona"	"https://wikidata.org/wiki/Q113145171"	"https://wikidata.org/wiki/Q22274452"	"https://wikidata.org/wiki/Q193430"	"errisperidona"	"https://eu.wikipedia.org/wiki/Errisperidona"	"risperidona"	"https://es.wikipedia.org/wiki/Risperidona"	"risperidone"	"https://en.wikipedia.org/wiki/Risperidone"	"rispéridone"	"https://fr.wikipedia.org/wiki/Rispéridone"	"risperidone"	"https://it.wikipedia.org/wiki/Risperidone"	"Risperidon"	"https://de.wikipedia.org/wiki/Risperidon"	
"Q582667"	"https://wikidata.org/wiki/Q582667"	"Antipsiquiatría"	""	""	""													
"Q2883473"	"https://wikidata.org/wiki/Q2883473"	"Modificación de conducta"	"https://wikidata.org/wiki/Q96634632"	""	"https://wikidata.org/wiki/Q4880696"			"modificación de conducta"	"https://es.wikipedia.org/wiki/Modificación_de_conducta"	"behavior modification"	"https://en.wikipedia.org/wiki/Behavior_modification"	"modification du comportement"						
"Q92169328"	"https://wikidata.org/wiki/Q92169328"	"Neurofeedback"	"https://wikidata.org/wiki/Q13442814
https://wikidata.org/wiki/Q871232"	""	""			"Neurofeedback"	"https://es.wikipedia.org/wiki/Neurofeedback"	"Neurofeedback"								
"Q847079"	"https://wikidata.org/wiki/Q847079"	"Condicionamiento operante"	"https://wikidata.org/wiki/Q2996394"	"https://wikidata.org/wiki/Q77468620"	"https://wikidata.org/wiki/Q133500
https://wikidata.org/wiki/Q1781244"			"condicionamiento operante"	"https://es.wikipedia.org/wiki/Condicionamiento_operante"	"operant conditioning"	"https://en.wikipedia.org/wiki/Operant_conditioning"	"conditionnement opérant"	"https://fr.wikipedia.org/wiki/Conditionnement_opérant"	"condizionamento operante"	"https://it.wikipedia.org/wiki/Condizionamento_operante"	"instrumentelle und operante Konditionierung"	"https://de.wikipedia.org/wiki/Instrumentelle_und_operante_Konditionierung"	
"Q11002"	"https://wikidata.org/wiki/Q11002"	"Azúcar"	"https://wikidata.org/wiki/Q902638
https://wikidata.org/wiki/Q17339814"	"https://wikidata.org/wiki/Q1790835"	"https://wikidata.org/wiki/Q11358
https://wikidata.org/wiki/Q169336
https://wikidata.org/wiki/Q25403900
https://wikidata.org/wiki/Q1365365
https://wikidata.org/wiki/Q26897776
https://wikidata.org/wiki/Q473666"	"azukre"	"https://eu.wikipedia.org/wiki/Azukre"	"azúcar"	"https://es.wikipedia.org/wiki/Azúcar"	"sugar"	"https://en.wikipedia.org/wiki/Sugar"	"sucre"	"https://fr.wikipedia.org/wiki/Sucre"	"zucchero"		"Zucker"	"https://de.wikipedia.org/wiki/Zucker"	
"Q4027534"	"https://wikidata.org/wiki/Q4027534"	"Sacarosa"	"https://wikidata.org/wiki/Q113145171
https://wikidata.org/wiki/Q3400794"	"https://wikidata.org/wiki/Q14902471
https://wikidata.org/wiki/Q22283061
https://wikidata.org/wiki/Q22275649
https://wikidata.org/wiki/Q14820872
https://wikidata.org/wiki/Q22281809
https://wikidata.org/wiki/Q22275641
https://wikidata.org/wiki/Q22281806
https://wikidata.org/wiki/Q21111866
https://wikidata.org/wiki/Q22324732
https://wikidata.org/wiki/Q22321374
https://wikidata.org/wiki/Q22324733
https://wikidata.org/wiki/Q24467457
https://wikidata.org/wiki/Q22292295
https://wikidata.org/wiki/Q22281805
https://wikidata.org/wiki/Q22322301
https://wikidata.org/wiki/Q22319179
https://wikidata.org/wiki/Q22322158
https://wikidata.org/wiki/Q22321732
https://wikidata.org/wiki/Q22322151
https://wikidata.org/wiki/Q22324022
https://wikidata.org/wiki/Q22322101
https://wikidata.org/wiki/Q22281804
https://wikidata.org/wiki/Q22322133
https://wikidata.org/wiki/Q22322129
https://wikidata.org/wiki/Q22322080
https://wikidata.org/wiki/Q21135723
https://wikidata.org/wiki/Q22321375"	"https://wikidata.org/wiki/Q103818207"	"Sakarosa"	"https://eu.wikipedia.org/wiki/Sakarosa"	"sacarosa"	"https://es.wikipedia.org/wiki/Sacarosa"	"sucrose"	"https://en.wikipedia.org/wiki/Sucrose"	"saccharose"	"https://fr.wikipedia.org/wiki/Saccharose"	"saccarosio"	"https://it.wikipedia.org/wiki/Saccarosio"	"Saccharose"	"https://de.wikipedia.org/wiki/Saccharose"	
"Q189567"	"https://wikidata.org/wiki/Q189567"	"Aditivo alimentario"	""	""	"https://wikidata.org/wiki/Q350176
https://wikidata.org/wiki/Q25403900"	"elikagai-gehigarri"	"https://eu.wikipedia.org/wiki/Elikagai-gehigarri"	"aditivo alimentario"	"https://es.wikipedia.org/wiki/Aditivo_alimentario"	"food additive"	"https://en.wikipedia.org/wiki/Food_additive"	"additif alimentaire"	"https://fr.wikipedia.org/wiki/Additif_alimentaire"	"additivo alimentare"	"https://it.wikipedia.org/wiki/Additivo_alimentare"	"Lebensmittelzusatzstoff"	"https://de.wikipedia.org/wiki/Lebensmittelzusatzstoff"	
"Q42982"	"https://wikidata.org/wiki/Q42982"	"Alergia"	"https://wikidata.org/wiki/Q11862829
https://wikidata.org/wiki/Q112193867
https://wikidata.org/wiki/Q112965645"	""	"https://wikidata.org/wiki/Q14905917
https://wikidata.org/wiki/Q5958765
https://wikidata.org/wiki/Q12136"	"Alergia"	"https://eu.wikipedia.org/wiki/Alergia"	"alergia"	"https://es.wikipedia.org/wiki/Alergia"	"allergy"	"https://en.wikipedia.org/wiki/Allergy"	"allergie"	"https://fr.wikipedia.org/wiki/Allergie"	"allergia"	"https://it.wikipedia.org/wiki/Allergia"	"Allergie"	"https://de.wikipedia.org/wiki/Allergie"	
"Q188251"	"https://wikidata.org/wiki/Q188251"	"Gluten"	""	""	""													
"Q2632776"	"https://wikidata.org/wiki/Q2632776"	"Dieta sin gluten"	""	""	""													
"Q11088"	"https://wikidata.org/wiki/Q11088"	"Celiaquía"	""	""	""													
"Q61476"	"https://wikidata.org/wiki/Q61476"	"Ácido graso"	""	""	""													
"Q407699"	"https://wikidata.org/wiki/Q407699"	"Ácido araquidónico"	"https://wikidata.org/wiki/Q113145171"	"https://wikidata.org/wiki/Q3298024
https://wikidata.org/wiki/Q22270098
https://wikidata.org/wiki/Q22273520
https://wikidata.org/wiki/Q22270100"	"https://wikidata.org/wiki/Q2250497
https://wikidata.org/wiki/Q4864674"	"Azido arakidoniko"	"https://eu.wikipedia.org/wiki/Azido_arakidoniko"	"Ácido araquidónico"	"https://es.wikipedia.org/wiki/Ácido_araquidónico"	"arachidonic acid"	"https://en.wikipedia.org/wiki/Arachidonic_acid"	"acide arachidonique"	"https://fr.wikipedia.org/wiki/Acide_arachidonique"	"acido arachidonico"	"https://it.wikipedia.org/wiki/Acido_arachidonico"	"Arachidonsäure"	"https://de.wikipedia.org/wiki/Arachidonsäure"	
"Q409990"	"https://wikidata.org/wiki/Q409990"	"Ácido eicosapentaenoico"	"https://wikidata.org/wiki/Q113145171"	""	"https://wikidata.org/wiki/Q2250497"			"Ácido eicosapentaenoico"	"https://es.wikipedia.org/wiki/Ácido_eicosapentaenoico"	"eicosapentaenoic acid"	"https://en.wikipedia.org/wiki/Eicosapentaenoic_acid"	"acide eicosapentaénoïque"	"https://fr.wikipedia.org/wiki/Acide_eicosapentaénoïque"	"acido eicosapentaenoico"	"https://it.wikipedia.org/wiki/Acido_eicosapentaenoico"	"Eicosapentaensäure"	"https://de.wikipedia.org/wiki/Eicosapentaensäure"	
"Q43054"	"https://wikidata.org/wiki/Q43054"	"Neurona"	"https://wikidata.org/wiki/Q189118"	"https://wikidata.org/wiki/Q9404
https://wikidata.org/wiki/Q203850"	"https://wikidata.org/wiki/Q28845870
https://wikidata.org/wiki/Q66568342"	"Neurona"	"https://eu.wikipedia.org/wiki/Neurona"	"neurona"	"https://es.wikipedia.org/wiki/Neurona"	"neuron"	"https://en.wikipedia.org/wiki/Neuron"	"neurone"	"https://fr.wikipedia.org/wiki/Neurone"	"neurone"	"https://it.wikipedia.org/wiki/Neurone"	"Nervenzelle"	"https://de.wikipedia.org/wiki/Nervenzelle"	
"Q956131"	"https://wikidata.org/wiki/Q956131"	"Sobrediagnóstico"	""	""	"https://wikidata.org/wiki/Q7114070"			"sobrediagnóstico"	"https://es.wikipedia.org/wiki/Sobrediagnóstico"	"overdiagnosis"	"https://en.wikipedia.org/wiki/Overdiagnosis"	"surdiagnostic"	"https://fr.wikipedia.org/wiki/Surdiagnostic"	"sovradiagnosi"				
"Q1436063"	"https://wikidata.org/wiki/Q1436063"	"Trastornos del espectro autista"	""	""	""													
"Q183560"	"https://wikidata.org/wiki/Q183560"	"Discapacidad intelectual"	""	""	""													
