12146	didaktischer Leitfaden	pedagogical user guide	guía didáctica
12147	Abweichung; Ablenkung	deviation	desviación
12148	irreführen; vom Weg abbringen	to deviate someone	desviar
12149	unterwegs	on the way	por el camino; durante el camino
12150	Lass mich den kleinen Weg benutzen	let me pass the small road	préstame el caminito (Pasando una propiedad)
12151	irreführen; vom Weg abbringen	to deviate someone	desviar
12152	irreführen; vom Weg abbringen	to deviate someone	desviar
12153	führen	to guide	guiar
12154	Führer	guide	guía
12155	vielfältig; vielfach	multiple	múltiple
12156	neulich	recently	enantes
12157	Schwester einer weiblichen Person	a woman's sister; sister ( to a sister); sister's sister; sister (woman's)	hermana (respecto de la hermana); hermana (entre hermanas); hermana de la hermana; hermana (con respecto a una mujer); hermana de la mujer; hermana de la mujer; hermana de ella; hermana; hermana (entre mujeres); hermana (de mujer)
12158	feines Kopftuch; Kopftuch der Frauen	headcloth worn by women; fine headcloth; elegant scarf	mantellina; mantilla con que se cubre la mujer su cabeza
12159	Schwesterlichkeit	sisterhood	hermandad entre mujeres
12160	zusammen mit ihren Schwestern; unter Schwestern	together with one's sisters; among sisters	junto con su hermana; entre hermanas
12161	und deine Schwester? (unter Frauen)	and your sister? (among women)	¿y tu hermana? (entre mujeres)
12162	Stille; Ruhe	calmness; tranquility; tranquillity	tranquilidad; calma
12163	beruhigen	to calm; to calm down	tranquilizar; sosegar
12164	verurteilen; urteilen; Urteil fällen	to sentence; to pass judgement	sentenciar; resolver un litigio; condenar
12165	dünn; mager	thin; skinny; narrow; fine-spun yarn	delgado; flaco; tenue; de poco espesor
12166	Freund; Vertrauter	friend; confidant; intimate	amigo; confidente; compinche
12167	kleines Kind bis zum Alter von anderthalb Jahren	small child until the age of one and a half; baby	bebe (hasta un año y medio de edad)
12168	sehr fein gesponnenes Garn	very fine-spun yarn	hilo torcido muy fino
12169	dünn machen	to make thin	adelgazar
12170	Dünndarm	small intestine	intestino delgado; ileón
12171	mit heller Stimme	clear-voiced	el de voz timbrada; agudo
12172	helle Stimme; hohe Stimme	clear voice; high voice	voz de timbre, muy delgada y alta
12173	dünn; mager	skinny	flaco
12174	kleiner Finger	little Finger	dedo auricular; dedo meñique
12175	Bronchien	bronchia	bronquio
12176	dünn werden	to become thin	adelgazarse; ponerse delgado; adelgazar
12177	schließlich; endlich	finally; at last; ready; good	finalmente
12178	sofort	immediately	inmediatamente; enseguida; de repente; de súbito; rápido
12179	unmittelbare Zukunft	immediate future	futuro inmediato
12180	kneten; plattdrücken	to knead; to knead dough; to crush	aplastar
12181	erweichen; weich machen	to soften	ablandar
12182	Kamm	comb; comb (for hair); toothed comb	peine; peinilla; peine
12183	Kammgürtel, verwendet zum Befestigen des Aksu-Umhangs	comb belt, used to secure aksu cloak (also sometimes worn by men)	cinturón de peine, usado para asegurar el mantón acsu
12184	Zinke eines Kammes	tooth of a comb	diente de peine
12185	sich kämmen	to comb one's hair; to comb oneself	peinarse
12186	Kamm	comb	peine
12187	die sich sehr sorgfältig kämmen	who combs oneself very carefully	peinados curiosos en peinarse
12188	Pflanze (Art), die als Kamm verwendet wird	kind of plant used as comb	ñaccha; especie de planta usada como peine
12189	gekämmt; Haartracht; Frisur	comed; hairdo	peinado
12190	kämmen	to comb	peinar; peinar a otro
12191	Rindfleisch von den Rippen	beef from the ribs	carne vacuna que se encuentra entre las costillas y lascaderas
12192	fast; beinahe	almost; nearly	casi
12193	neulich; vor einem Augenblick; gerade eben	recently; moments before; just now; a while ago; just a moment ago	hace rato; hace un momento; hace poco; denantes; enantes; antes
12194	vor (zeitlich)	ago	hace
12195	mit vollem Einsatz	using all one's strength	con todo empleo
12196	seit einer ganzen Weile	for a good while	desde hace un buen rato
12197	er ist gerade eben gegangen	he has left just now	se fue hace un momento
12198	danach; dann	then; after that; afterwards	luego
12199	vor kurzem	short time ago	endenantes; hace rato
12200	ich bin fast gefallen	I have almost fallen	casi me he caido
12201	Vereinbarung	agreement	acuerdo; convenio; arreglo
12202	schon	already	ya
12203	Theorie	theory	teoría
12204	aber; jedoch; jetzt auch; schon wieder; außerdem	but; also now; in addition; additionally	pero; ya también; ya otra vez; además
12205	Vorsicht!; Achtung!	Attention!; Careful!; quiet!	¡Cuidado!; ¡Atención!
12206	oft	often	a menudo; con frecuencia; frecuentemente
12207	Leber	liver	hígado
12208	gut gekochte Ingiri-Banane, die die Weichheit von Leber annimmt	well-cooked inguiri banana turning soft like liver	plátano inguiri bien cocinado que adquiere la suavidad del higado
12209	verbeult	dented	abollado
12210	Eingeweide	entrails; intestines; bowels; viscera	víscera; entrañas
12211	kleinnasig	small-nosed	de nariz pequeña o aplastada
12212	plattgedrückt	crushed	aplastado; abollado
12213	kneten; plattdrücken	to knead; to knead dough; to crush	amasar; aplastar; abollar
12214	helfen; zusammenarbeiten (mit); beeinflussen; beitragen	to help; to assist; to cooperate; to influence; to contribute	auxiliar; cooperar; influenciar; contribuir
12215	scharf; spitz	sharp	agudo; afilado
12216	Scheitelpunkt	vertex	vértice
12217	schärfen; schleifen; anspitzen	to sharpen	afilar
12218	Spitze	tip	punta
12219	Auge; Gesichtssinn	eye; sight	ojo; vista; ojos
12220	Gesicht; Antlitz	face	cara; rostro
12221	Öffnung; Loch bei bestimmten Gegenständen; Knopfloch	opening; hole of certain objects; buttonhole	agujero de ciertos objetos; ojal
12222	Haltung; Erscheinungsbild	attitude	actitud
12223	Knospe; Auge einer Pflanze	bud; plant's eye (lit.)	brote (las primeras hojas que salen); cogollo guía de la planta; yema; yema de planta
12224	Punkte gegensätzlicher Farbe im Gewebe (wörtlich Auge)	dots of opposite color that appear in a complementary float weave (lit. eye); spots from which something material or spiritual might issue (potato eye, water spring, knot in wood, etc.)	puntos de colores contrarios en el tejido (lit. ojo)
12225	Augenmuster auf röhrenförmigem Saum	eye design in tubular edging	diseño de ojos en orilla tubular
12226	Kohl	cabbage	repollo
12227	Zirbeldrüse	pineal gland	glándula pineal
12228	Wange; Backe; Backenknochen	cheek; cheek-bone	pómulo; mejilla; cachete
12229	Wange; Backe	cheek	mejilla
12230	gegenüberstellen	to confront; to face (not really in a good way)	confrontar
12231	Augenblick	moment	momento
12232	kurzzeitig	briefly	brevemente
12233	seine Augen öffnen	to open one's eyes or subtle perspective centers	abrir los ojos o centros perceptivos sutiles
12234	erneut lesen	to reread	releer
12235	Augen; Gesicht	eyes; view; face	ojos; vista; cara
12236	Auge	eye	ojo
12237	Pupille	pupil (of the eye)	pupila
12238	Lektüre; Lesestoff	reading	lectura
12239	erneut lesen	to reread	releer
12240	lesen	to read	leer
12241	unsichtbar	invisible	invisible
12242	Bart	beard	barba
12243	Wimper	eye-lash; eyelash	pestañas; pestaña
12244	bärtig	bearded	barbado
12245	Augapfel	eyeball	globo del ojo
12246	Sondervergütung; Belohnung; Gebühr	gratification; tax	gratificación; tasa
12247	Rechnung; Berechnung	calculation	cálculo
12248	Lesestoff; Lektüre; Buch	reading; reading matter; book	lectura; libro
12249	Bücherei; Bibliothek	library	biblioteca
12250	Leseverständnis	reading comprehension	comprensión lectora
12251	lesen; überprüfen; berechnen	to read; to control; to calculate	leer; controlar; calcular; mirar
12252	Pupille	pupil (of the eye)	pupila del ojo; pupila
12253	Maske	mask	máscara
12254	Augensprenger (Pflanze, deren Früchte zum Waschen von Kleidung verwendet werden und deren stark bitterer Pflanzensaft das Auge platzen lassen kann)	eye blaster (plant whose fruits are used to wash clothes. The very bitter plant sap can make eyes blast)	ñahuipashta, revientaojo (planta cuyos frutos se usan para lavar ropas. La savia es muy amarga que puede reventar el ojo)
12255	Augenbraue; Augenbrauen	eyebrow; eyebrows	ceja; cejas
12256	Regenbogenhaut; Iris des Auges	iris	iris
12257	Pupille	pupil (of the eye)	pupila
12258	grauer Star; Katarakt	cataract (of the eye)	cataracta
12259	grüner Star; Glaukom	glaucoma	glaucoma
12260	Lid; Augenlid	lid; eyelid	párpado
12261	Gerstenkorn (am Auge)	sty	orzuelo
12262	Wimpern; Wimper	eye-lashes; eye-lash; eyelashes	pestañas; pestaña
12263	Lesbarkeit	legibility	legibilidad
12264	Optik	optics	óptica
12265	lesen	to read	leer; ojear
12266	Bücherei; Bibliothek	library	biblioteca
12267	Pupille	pupil (of the eye)	pupila; la niña del ojo
12268	großäugig	big-eyed	de ojos grandes; ojoso
12269	großäugig	big-eyed	de ojos grandes
12270	in einem Augenblick	in a blink	en un abrir y cerrar de los ojos
12271	zwinkern; blinzeln	to blink	guiñar; parpadear; hacer arrugar el ojo
12272	Bindehautentzündung	conjunctivitis	conjuntivitis; mal de ojo; enfermedad causada por el ojear a otro cuyo tratamiento puede ser realizado solo por un curioso o un curandero
12273	erstgeborener Sohn	first-born son; eldest son	hijo primogénito (de humanos y animales) (also pichuri)
12274	lesen	to read	leer
12275	Pupille	pupil (of the eye)	pupila
12276	erneut lesen	to reread	releer
12277	wer lesen kann	who is able to read	la persona que sabe leer; instruido
12278	Regenbogenhaut	iris	iris
12279	anwesend	present	presente
12280	miauen	to miaow	maullar
12281	alt; vorhergehend; zurückliegend; früher	old; former; ancient	antiguo; precedente; anterior; remoto; pretérito; primitivo; viejo; antiguo; primitivo; pasado; antaño; delantero; original; primero
12282	früher	before	antes; adelante; anteriormente; (su) delante; delante (tiempo); delante
12283	erster; erste; erstes	first	primero
12284	frühere Zeit	former time	tiemporemoto; antigüedad
12285	Vergangenheit und Zukunft	past and future	pasado y futuro (la utilización y el sentido real de ñawpa solamente se puede entender entendiendo globalmente toda la oración, depende de la  forma y en el tiempo que se usa)
12286	Vorfahren	ancestors	antepasados
12287	vorrücken; vorschieben; übertreffen; überholen	to advance another; to move forward; to advance; to move ahead; to overtake; to anticipate; to advance; to move forward	adelantar; anticipar
12288	erstgeborener Sohn	first-born son; eldest son	prímogénito; primogénito
12289	historisch; geschichtlich	historical; historic	histórico
12290	historischer Text	historical text	texto histórico
12291	Geschichte (historisch)	history	historia
12292	Historiker	historian	historiador
12293	Vorfahren	ancestors	antepasados
12294	alte Lebensweise; Vorfahren	olf life; old way of life; ancestors; ancestors	vida antigua; antepasados; tradición; composiciones literarias; doctrinas; costumbres
12295	Archäologie	archaeology	arqueología
12296	Altertum; vorkolumbianische Zeit	antiquity age; precolumbian age	edad antigua; eras antiguas; edad precolombiana
12297	Alter (hohes)	age (high)	antigüedad
12298	zurückführen; reduzieren; kürzen (Bruch)	to reduce	reducir
12299	die Vorfahren	the ancestors	los antiguos (ancestros)
12300	Wiederkehr der Vergangenheit; Wiederkehr der Zukunft	return of the past; return of the future	retorno del pasado; retorno del futuro
12301	Einleitung; Einführung	introduction	inicio; introducción
12302	Menschen der Welt vor den Inkas	people of the world before the Inkas	gente del mundo antes de los Inkas
12303	Handfläche	palm (of the hand)	palma de la mano
12304	Aussicht; Vision	vision	visión
12305	vorher	before	antes
12306	vor langer Zeit; früheres Zeitalter	long time ago; former era	deantemano; tiempo atrás
12307	Unterarm	lower arm	antebrazo
12308	hierher voranschreiten	to advance hither	adelantarse hacia aquí
12309	vor; neben	delante de; al lado de; cerca de	in front of; ahead of; beside; near
12310	fördern	to promote	promover
12311	vor	in front of; before	adelante de
12312	vorhergehend	preceding; foregoing	antecedente
12313	erst; erster; erste; erstes	first	primero
12314	alt	old	antiguo; viejo; anticuado
12315	früher; vor langer Zeit	formerly; long ago	antes; hace mucho tiempo; en los tiempos antiguos
12316	Vergangenheit; alte Zeit	past; old time; antiquity	pasado; pretérito; tiempo pasado; tiempo antiguo; tiempos antiguos; paleolítico
12317	Vergangenheit und Zukunft	past and future	tiempo pasado y tiempo futuro
12318	Vergangenheit (Präteritum); Präteritum	past tense	tiempo pasado (verbal)
12319	Geschichte (historisch)	history	historia
12320	Erbe (das)	heritage	herencia; posesión ancestral
12321	vorn	in front; ahead	delante
12322	vor	in front of	enfrente de
12323	vorder; erst	front; first	primero; delantero; anterior; antiguo; principal; previo; pasado
12324	davor; vorn	in front	enfrente; delante; delante (posición, espacio)
12325	früher; zuerst	before; first	antes; adelante; anteriormente
12326	erst; erster; erste; erstes	first	primero
12327	Vorgänger; Vorgängerin; Vorbote	predecessor; herald	precursor; predecesor; anterior; predecesor; anticipador; relativo a lo antiguo; delantero
12328	Vorderteil; Vorderseite	front	parte de enfrente; parte de antes; parte anterior
12329	Vorzug; Priorität	priority	prioridad
12330	Stirnseite; Vorderseite	front	frente; fachada; delantera
12331	Vorwahl; Vorsilbe; Präfix	primary; preliminary; prefix	prefijo
12332	das erste; der erste; die erste; erste; erster; erstes	the first; first	el primero; la primera; primero
12333	Vorgänger; vorhergehend	predecessor; precedent; former; earlier; prior; antecedent	antecedente
12334	vorwärts; voran	forward; ahead	adelante
12335	Entwicklung	development	desarrollo
12336	sich entwickeln	to develop	desarrollarse
12337	vorangehen; fortschreiten	to progress; to advance	adelantarse; superarse; pasar delante
12338	vom Anfang an; von vorher	from the beginning; from before	desde el inicio; desde antes
12339	Unterarm	lower arm	antebrazo
12340	vorher	before	antes
12341	zuerst	first	primero
12342	erst; erster; erste; erstes	first	primer
12343	zweit; zweiter; zweite; zweites	second	segundo,a
12344	zuerst; voran	first; in front	adelante; arriba
12345	Brustbein	sternum	esternón
12346	zuvor; früher	before	antes
12347	Altes Testament	Old Testament	Antiguo Testamento
12348	Brustbein	sternum	esternón
12349	erster; erste; erstes	first	primero
12350	vorwegnehmen; voraussehen	to anticipate	anticipar
12351	vorangehen; fortschreiten	to advance	adelantarse; avanzar
12352	Märchen; Mythos	myth; tale; fairy tale	mito; cuento
12353	Bestandteil; Komponente	component	componente (de algo)
12354	veränderliche Bestandteile; variable Komponenten	variable components	variables componentes
12355	nachgehen (Uhr)	to be slow (clock); to lose (clock)	atrasar
12356	fortschreiten; vorangehen	to advance oneself	adelantarse; preceder; adelantar; anteceder; pasar delante
12357	Hypothese	hypothesis	hipótesis
12358	Vorhof (des Herzens)	auricle of the heart	aurícula
12359	Frühernte	early harvest	siembras tempranas
12360	vorher bestehend	pre-existent	preexistente
12361	Stirnbein	frontal	hueso frontal del cráneo
12362	erstgeborenes Kind	first-born child	prímogénito,a; primogénito
12363	Sage; Legende	legend	leyenda
12364	Geschichte (historisch)	history	historia
12365	ältest	eldest	mayor
12366	Vorwärts!	Forward!	¡adelante!
12367	vorangehen; fortschreiten	to advance; to go ahead	adelantarse; avanzar; ir adelante; ir antes; adelantar
12368	vorschieben; vorrücken; fortschreiten; vorangehen; übertreffen; überholen	to move forward; to advance; to go on ahead; to overtake; to surpass; to anticipate; to lead; to go before	adelantar; adelantarse; aventajar; anticipar; preceder; adelantar(se); anticiparse; adelantarse; adelentarse; anticiparse
12369	Vorfahren	ancestors	antepasados
12370	vorangehen; fortschreiten; zuerst ankommen; als erste kommen	to advance; to arrive first	adelantarse; avanzar; llegar primero
12371	Spitze	tip	punta
12372	Spitze; Ende; äußerstes Ende; Extrem	extreme; extremity; tip	extremidad; punta
12373	vor	before	ante
12374	vorder	anterior	anterior
12375	früher; vorherig; vorder	former; previous; front	anterior
12376	vorn; vorne	in front; ahead	delante; parte anterior
12377	auf der anderen Seite; gegenüber	opposite	en la parte anterior; enfrente
12378	vor ihm; vor ihr	in front of her; in front of him	por delante de él; por delante de ella
12379	bunt; vielfarbig; vielfältig	multicolor; multicolour; polychrome	multicolor; polícromo
12380	Vielfalt	diversity; variety; multiplicity	diversidad; variedad; multiplicidad
12381	vielseitig; verschieden; unterschiedlich	different; several; various	diverso
12382	vielfältig; vielfach	multiple	múltiple
12383	ungleichartig; ungleichförmig; heterogen	heterogeneous	heterogeneo
12384	einige; mehrere; verschiedene	several; various	varios
12385	fächern; breit fächern; abwechslungsreich machen; diversifizieren	to diversify	diversificar
12386	Artenvielfalt	biodervisity	biodiversidad
12387	Musiker	musicians	músicos
12388	Farben für Gewebe; Erdfarben zum Malen	colours for tissue; colours of earth for painting	todo género de colores de tejer; colores de tierra para pintar
12389	Musik	music	música
12390	Fachunterricht	special education	educación especial
12391	blind	blind	ciego; analfabeto; invidente; cegatón
12392	Blinder	blind person	persona ciega
12393	Blinddarm	blind gut; caecum	intestino ciego
12394	Blindheit	blindness	ceguera
12395	blenden	to blind	cegar los ojos
12396	blenden	to make blind	cegar a alguien; cegar; enceguecer
12397	erblinden	to become blind; to go blind	cegar; volverse ciego; ir perdiendo la vista; enceguecer
12398	Zeuge	witness	testigo
12399	Molekül	molecule	molécula
12400	Ton; Tonerde	clay	arcilla
12401	runzelig; faltig	wrinkled	arrugado; rugoso; rugoso (tubérculos, hojas de plantas, personas); marchito
12402	warzig werden; Warzen bekommen	to wrinkle; to get wrinkles	arrugarse; hacerse rugoso
12403	Ich spreche; Ich sage	I am talking; I am saying	estoy hablando; estoy diciendo
12404	anflehen; betteln	to beg	pedir
12405	Rückenmark	spinal cord	médula espinal; médula osea; médula; tuétano; médula (espinal); espinal
12406	man sagt	it is said	dicen
12407	fein; vollkommen; perfekt	fine; perfect	fino; perfecto; cosa muy fina o muy perfecta como en todos los colores
12408	feiner Stoff; feines Gewebe	fine cloth; fine tissue	ropa fina; ahuasca fina
12409	in Verbindung bringen	to relate	relacionar
12410	Gleichwertigkeit; Äquivalenz	equivalence	equivalencia
12411	Wortwechsel; Streit; Gleichwertigkeit	argument; debate; equivalence	altercado; equivalencia
12412	beratschlagen; gleichwertig sein	to consult; to equal	consultar; equivaler; corresponder; relacionarse; decirse mutuamente
12413	sehr feiner Stoff; besonders edles Tuch	fine tapestry; very fine cloth	ropa muy fina; cumpi fino
12414	feine Farben	fine colours	colores finos
12415	groß; viel	big; much	gran; mucho
12416	anstelle; anstatt	instead of	en vez de
12417	sehr feines, dünnes und weiches Tuch	very fine, thin and soft cloth	paño fino, muy delgado y suave 
12418	fein gelb	fine yellow	amarillo fino
12419	gesprochene Sprache; Umgangssprache	colloquial language	lengua oral
12420	fein schwarz	fine black	negro fino
12421	bedeuten	to mean	significar; querer decir
12422	sagen sie; wird gesagt	the say; it is said	dicen; ellos dicen
12423	vergleichen	to compare	comparar
12424	glauben	to believe	creer
12425	widersprechen	to oppose; to disagree	oponerse
12426	anstoßen; aufprallen	to collide with; to crash into	chocar
12427	abweichen	to differ; to be different	discrepar
12428	krumm	out of shape; bent; twisted	tuerto
12429	-ste; -ster; -stes; -te; -ter; -tes; [Ordinalzahl]	-th; [ordinal number]	[Número ordinal]; [ordinal que expresa sucesión, gradación]; [morfema ordenal]
12430	Beule; Stoß; Zusammenstoß	crash; collision; dent	abolladura; choque; golpe que quebranta
12431	Lehm; Schlamm	loam; clay; mud	barro; fango; lodo
12432	Ordnung	order	orden
12433	Rechner (Maschine); Computer	computer	computadora
12434	beschmieren; beschmutzen	to smear; to dirt	embarrar
12435	ordnen; anordnen (in Reihen usw.)	to arrange; to put into order	ordenar (poner en orden)
12436	Rechner; Computer	computer	computadora; ordenador
12437	ordnen; aufräumen; organisieren	to put into order; to organize	ordenar; arreglar; organizar
12438	augenkrank	ill-eyed	que tiene el ojo sucio o defectuoso
12439	-ste; -ster; -stes; -te; -ter; -tes; [Ordinalzahl]	-th; [ordinal number]	[Número ordinal]; [ordinal que expresa sucesión, gradación]
12440	geordnetes Paar	arranged pair	par ordenado
12441	ordnen; anordnen	to arrange; to put into order	ordenar
12442	sumpfig; morastig	swampy; boggy	pantanoso
12443	Abschnitt; Phase; Periode	phase; period	fase
12444	verbeulen; zerschlagen	to dent; to smash; to crash	abollar; hundir o quebrar de un golpe
12445	Ordnungszahl; Ordinalzahl	ordinal number	número ordinal
12446	Ordnungszahlen; Ordinalzahlen	ordinal numbers	números ordinales
12447	ungefähr; etwa	about; approximately; around	alrededor
12448	ich hörte sagen	I heard them say	he oído decir (tono gentil)
12449	vortäuschen	to pretend; to feign	fingir; aparentar; disimular
12450	das Mark; Inneres	marrow	médula; tuétano
12451	Rückenmark	spinal cord	médula espinal; médula
12452	Lehrsatz; Theorem	theorem	teorema
12453	ähnlich	similar	parecido; semejante; similar; igual
12454	Farbe; Sorte; Art	colour; color; sort; species	color; clase; especie
12455	Figur; Erscheinung; Art	figure; appearance; kind	figura; apariencia; clase
12456	damals; dann (Erzählform Vergangenheit)	then; in that time; then (report form)	entonces; en ese tiempo (en cuentos, pasado)
12457	bedeuten	to mean	querer decir
12458	dann; in dem Fall; so	then; in that case	entonces; en ese caso
12459	trotzdem	nevertheless	sin embargo
12460	dann	then	entonces; siendo así
12461	gesagt; so genannt	said; so-called	dicho; el dicho
12462	verstellt; falsch	disguised; false	fingido
12463	ein Versprechen halten	to hold a promise	llevar a cabo una promesa
12464	wie ich sagte	as I said	como digo yo
12465	zum Beispiel	for example	por ejemplo
12466	wir sollten sagen; man sollte sagen	we should say	diríamos
12467	zum Beispiel	for example	por ejemplo
12468	zu viel; übertrieben; sehr	too much; very much	demasiado; mucho; fuertemente; bastante; muy; cargante
12469	versalzen	it is very salted	está muy salado
12470	umgedrehter Magen	turned stomach	estómago volteado
12471	Stolpern; Stoß	trip; bump	tropezón
12472	stolpern; straucheln; stoßen	to stumble; to trip; to bump into	tropezar
12473	Druckerei	printing works; printery	imprenta
12474	Eindruck	impression	impresión
12475	sich drängen; drängeln	to jostle; to hustle	apiñarse; apretarse entre muchos
12476	Eindruck	impression	impresión
12477	zusammengepresst	compressed	tupido; prensado; compactado; comprimido; apiñado; aplastado
12478	Ausgabe; Auflage; Edition	edition	edición
12479	Druck	pressure	presión
12480	Eindruck	impression	impresión
12481	drücken; pressen; zusammenpressen; zusammendrücken; quetschen; unterdrücken	to press; to press together; to compress; to squeeze; to oppress; to squeeze	apretar; prensar; oprimir; presionar; compactar; comprimir; aplastar; apiñar; agrupar apretadamente; acuñar
12482	drucken	to print	imprimir
12483	Herr; Patron	landlord	teniente; patrón
12484	sage mir	tell me	dime
12485	Ausdruck; das Gesagte	expression; saying	expresión; dicho; decir; declaración
12486	sagen; klingen; bedeuten; ausdrücken	to say; to tell; to sound; to speak; to mean; to express	decir; opinar; querer; querer decir; aceptar; mencionar; expresar; manifestar; contar; relatar
12487	Absatz	paragraph	párrafo
12488	schicken, um mitzuteilen	to send to tell	enviar a decir
12489	sag ihm	tell him	dile
12490	bedeuten	to mean	querer decir
12491	pulverisiert; fein gemahlen	pulverized; finely ground	pulverizado; bien molido
12492	Pulver werden	to become very fine	pulverizarse
12493	Salbei (Art); Pflanze mit roten, röhrenförmigen Blüten und mit gelben Blättern und Früchten; heilige Blume der Inkas	kind of sage; plant with yellow leaves and fruit; scarlet, tubular-shaped wild flower; a sacred flower of the Incas, symbolized on ceremonial vases and clothing, and thrown on the path before the passing Inca as he passed through the Empire (today, ñukchu is associated with Taytacha Temblores, the Lord of the Earthquakes, and it decorates the cross and is tossed from balconies by the faithful as the image is carried through the streets of Qosqo. In Qachin, ñukchu is used to decorate crosses for New Year’s residencia)	especie de salvia; planta de flores rojas y tubulares, de hojas y frutos amarillos; flor sagrada de los Inkas
12494	oben anschauen; nach oben schauen	to watch above	mirar para arriba
12495	eingebildet; nochnäsig	conceited; arrogant	rozagante
12496	falsch	false; wrong	falso
12497	eingebildet	conceited	presumido
12498	mutmaßen; annehmen; umwerben	to presume; to assume; to suppose; to court; to woo	presumir; cortejar; galantear; coquetear; embaucar; engañar
12499	süß	sweet	dulce; delicado
12500	Milch	milk; mother's milk; sweet	leche; néctar
12501	Geist	spirit	espíritu
12502	aufgeweicht; erweicht	softened	ablandado
12503	erweichen; weich machen	to soften	ablandar
12504	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle; sweet broom	nuc nuc pichana; especie de planta medicinal de la selva; escobilla; especie de planta medicinal que es buena contra las fiebres. Hay muchas especies en la región; ñucño-pichana
12505	Schmeichler	flatterer	lisonjero
12506	wer das Süße im Übermaß mag; Leckermaul	whe likes the sweet excessively; sweet-tooth	que le gusta el dulce en exceso
12507	Müll; Abfall	waste; rubbish; trash; garbage	basura
12508	Handschuh	glove	guante
12509	beköstigen; versorgen; unterhalten	to sustain	sustentar (mantener)
12510	einarmig; an den Händen behindert	one-armed; disabled at the hands	manco; de brazos inválidos; inválido de manos; inválido
12511	hilflos	helpless	desamparado
12512	einen Arm verlieren	to lose an arm	volverse manco; perder el brazo; tullirse de las manos
12513	Milch	milk; mother's milk	leche
12514	Busen; Euter; weibliche Brust; Zitze	nipple; teat; tit; female breast; breast; udder	seno femenino; teta; ubre; pezón; leche; nodriza; glándula mamaria; pecho de la mujer; ubre de los animales; seno; pecho femenino; mama; pecho; glándulas mamarias
12515	säugen	to suckle; to give milk; to breast feed; to breast-feed	amamantar; dar la madre el pecho al hijo; dar de mamar; mamar; dar el pecho; lactar
12516	Busen; Brüste; Zitzen	nipples; teats; tits; female breast; bossom	seno femenino; tetas; pezones; pecho de la mujer; seno
12517	saugen (child)	to suck (child)	mamar
12518	säugend	suckling	tetuda
12519	Wildente	wild duck	pato silvestre; pato
12520	Tollkirsche	belladonna	belladona
12521	Kaktusfrucht	cactus fruit	fruto del cactus
12522	Beerenpflanze (Art) mit rosafarbenen Blüten	berry plant with purple flowers	especie de planta de flores moradas que da bayas
12523	Jüngster; jüngster Sohn; jüngerer Verwandter	junior; younger; youngster	el último de la familia
12524	säugen	to suckle; to give milk; to breast-feed	amamantar
12525	Säugetier; Säuger	mammal	mamífero
12526	Beginn des Säugens	beginning of suckling	mamada inicial
12527	ein Kalb zum Saugen der ersten Milch bringen	to make a calf start sucking milk	hacer que el ternero efectúe la mamada inicial
12528	beginnen zu säugen	to begin suckling	iniciar la mamada
12529	Neugeborenes; Säugling	new-born child; lactant	neonato; lactante
12530	Muttermilch	mother's milk	leche materna
12531	letztes Kind	last child	hijo menor
12532	Muttermilch saugen; Muttermilch trinken	to be breast-fed; to breast-feed (baby oneself)	mamarse; beber leche materna; amamantar
12533	stillen; säugen	to suckle; to nurse; to give milk; to breast feed; to nurse	mamar; lactar
12534	Kind, das gestillt wird	child being suckled	niño de teta
12535	kneten; drücken	to knead; to press	amasar; apretar
12536	ich	I	yo
12537	Er ist so gut wie ich bin	He is as good as I am (elliptical)	Él es bueno como yo soy
12538	mir scheint ...	it seems to me ...	me parece ...
12539	Essen damit ich esse	food so that I may eat	comida para que como
12540	ich und du; wir; wir mit dir	we (incl.); we; we (inclusive of person spoken to); we (inclusive)	nosotros (inclusivo); nosotras (inclusivo); nosotros; nosotros; nosotras; nosotros (con usted); nosotros incluyente
12541	ich und ihr (drei oder mehr); wir mit dir (drei oder mehr)	we (incl., three or more)	nosotros (inclusivo, tres o más); nosotras (inclusivo, tres o más)
12542	unser (inkl.); unsere (inkl.); unsers (inkl.); unserer (inkl.)	our (incl.); ours (incl.)	nuestro (inclusivo); nuestra (inclusivo); nuestro incluyente
12543	Wir sind einer Meinung	We have one opinion	Nosotros somos de una sola palabra
12544	mein; meine; meins; meiner	my; mine	mío; mía; mi
12545	für mich	for me	para mí
12546	erscheint mir gut	seems good to me	me parece bien
12547	Ich heiße ...	My name is ...	Me llamo ...
12548	ich auch	I also	yo también
12549	beneiden; eifersüchtig sein	to envy; to be jealous	envidiar; estar celoso
12550	Sehr geehrte(r) ... (Beginn formaler Briefe, Lehnübersetzung aus dem Spanischen)	Dear ... (beginning of formal letters, loan translation from Spanish)	de mi consideración
12551	Ich heiße ...	My name is ...	Me llamo ...
12552	Ich bin zehn Jahre alt	I am ten years old	edad
12553	Ich bin ...	I am ...	Yo soy ...
12554	Ich werde lesen	I will read	yo leeré
12555	wenn du mich wirklich akzeptierst (annimmst)	if you really accept me	si me aceptas de verdad
12556	mit mir	with me	conmigo
12557	mein Alter	my age	mi edad
12558	wir; wir ohne dich	we (excl.); we (exclusive of person spoken to)	nosotros (exclusivo); nosotras (exclusivo); nosotros (sin usted); nosotros excluyente
