ID	Deutsch	English	Español	Italiano	Français
11049	Windengewächs (Art)	kind of bindweed	planta convolvuláceas; (sinon.) willqo; (vulg.) campanilla	willqo; campanella; [pianta appartenente alla famiglia delle convolvulacee]	
11050	Windel	nappy; napkin; diaper	pañal para bebé	pannolino	
11051	Entwickung	development	desarrollo	sviluppo	
11052	Spule	spool; reel; bobbin	carrete	bobina; fuso; avvolgimento	
11053	umgebend; umliegend	surrounding	circundante; enrollador	circondante	
11054	aufgerollt; gewickelt; eingewickelt	huddled; rolled up	enrollado; envuelto	avvolto; arrotolato	
11055	aufrollen; verpacken; falten	to roll up; to wrap; to fold; to roll; to tie up; to bind	enrollar; embalar; plegar; envolver a un niño o a otra persona; envolver; liar; hacer un manojo; circundar; ovillar; arrollar; hacer líos; empaquetar	arrotolare; imballare; avvolgere un bambino; avvolgere una persona; legare; fare un fagotto; circondare	enrouler; envelopper (une chose quelconque); plier
11056	sich einwickeln	to wrap	envolverse	avvolgersi	s'envelopper
11057	sich einwickeln	to wrap	envolverse	avvolgersi	s'envelopper
11058	dünn; mager	thin; skinny	delgado; flojo; holgado	magro; sottile; floscio	maigre
11059	Milchstraße	Milky Way	Vía Láctea	Via Lattea; [galassia]	
11060	Fluss	river; stream; brook	río; arroyo; rio	fiume; torrente	rivière; fleuve
11061	Mai	May	mayo	maggio	
11062	hundeartiges, fuchsähnliches Raubtier (Art)	kind of dog-like carnivore similar to a fox	aguará; cánido parecido al zorro	aguarà; [canide simile alla volpe]; [tax. reg: Animalia; ure: Eumetazoa; sph: Deuterostomia; phy: Chordata; uph: Vertebrata; iph: Gnathostomata; scl: Tetrapoda; cla: Mammalia; ucl: Theria; icl: Placentalia; ord: Carnivora; uor: Caniformia; fam: Canidae; tri: Vulpini; bin: Chrysocyon brachyurus]	
11063	Bach	brook; stream	arroyo; riachuelo; río pequeño	fiume piccolo; torrente	
11064	Tauchvogel (Art)	kind of diving bird	pato de torrente; pájaro zambullidor; una variedad de ave acuática	anatra di torrente; [tipo di uccello acquatico]; [tax. reg: Animalia; phy: Chordata; cla: Aves; fam: Anatidae; ord: Anseriformes; gen: Oxyura; spe: vittata; bin: Oxyura vittata]	
11065	Mikro...	micro...	micro...	micro...	
11066	Pflanze, deren Blätter verwendet werden zum Gelb Färben	plant, leaves used to dye yellow	mayu chilca; planta cuyas hojas se usan para teñir de amarillo	mayu chilca; [pianta le cui foglie sono utilizzate per tingere di giallo]	
11067	Gottheit des Flusses; Mutter des Flusses	deity of the river; mother of the river	deidad; la madre del río	mayu mama; [divinità: madre del fiume]	
11068	Flussufer; Ufer (eines Flusses)	bank (of a river); shore	orilla del río; playa del río; margen de río; orilla; ribera; playa	sponda; riva; spiaggia del fiume; [margine di un fiume o torrente]	
11069	Süßwasserstechrochen	freshwater ray	raya de agua dulce	corrente di acqua dolce	
11070	Strömung	current	corriente	corrente	
11071	Strömung	current	corriente	corrente	
11072	Delta	delta	delta	delta	
11073	Flussufer; Ufer (eines Flusses)	bank (of a river); shore	orilla del río; playa del río; margen de río; orilla	sponda; riva; spiaggia del fiume; [margine di un fiume o torrente]	
11074	Schleifen eines Flusses; windender Fluss; Mäander	loops of a river; zig-zagging or winding river	meandro	meandro; [ansa di un fiume]	
11075	Pallay-Motiv in Geweben (Bedeutung: Mäander)	pallay motif in weaving embroidered on men's shirts (zig-zagging or winding river)	motivo pallay en tejidos (significado: meandro)	meandro (motivo pallay); [è un motivo usato nella decorazione dei tessuti (il significato di questo motivo è: meandro)]	
11076	Dorf zwischen Potosí und Betanzos (Bolivia)	village down hill towards Potosí from Betanzos (Bolivia)	pueblo entre Potosí y Betanzos (Bolivia)	Mayu Tampu; [paese tra Potosì e Betanzos (Bolivia)]	
11077	flussabwärts	downstream	río abajo	fiume sottostante	
11078	flussaufwärts	upstream	río arriba	fiume soprastante	
11079	purpur	purple	morado; morado; violeta	porpora; viola	
11080	jemandes Liebe gewinnen	to win the heart of	enamorar; enamorarse de alguien apasionadamente; tener compasión; acariciar	innamorare; innamorarsi appassionatamente; avere compassione	
11081	schwingen; vibrieren	to swing; to vibrate	columpiar; oscilar; vibrar; flamear al viento; agitarse en el aire; tremolar; girar; mecer	oscillare; vibrare; fiammeggiare al vento; agitarsi nell'aria; tremolare	
11082	Lampe; elektrisches Licht; Elektrizität; Energie	lamp; lamp as a physical thing; electric light; electricity; energy	lámpara; luz; electricidad; energía	lampada; luce; elettricità; energia elettrica	
11083	Warze	wart	verruga	verruca	
11084	Energieumsatz	breakdown of energy; transformation of energy	descomposición de la energía	trasformazione energetica	
11085	Katze	cat; cat; also michi	gato; gata	gatto; gatta; [tax. reg: Animalia; ure: Eumetazoa; sph: Deuterostomia; phy: Chordata; uph: Vertebrata; iph: Gnathostomata; scl: Tetrapoda; cla: Mammalia; ucl: Theria; icl: Placentalia; ord: Carnivora; fam: Felidae; gen: Felis; spe: silvestris bin: Felis Silvestris]	chat
11086	Mais am Kolben, wenn er noch zum Essen zu jung ist; (wörtlich) Katzenzahn	corn on the cob when it is too young to eat; (lit.) cat tooth	maíz en la mazorca aún demasiado verde para comer; (lit.) diente de gato	mais acerbo; [mais ancora sulla pannocchia e troppo verde per essere mangiato]; [lit. que: dente (kiru) di gatto (michi)]	
11087	Hirte; Schäfer	shepherd	pastor	pastore	
11088	einjährige Pflanze (Art) mit violetten Blüten	kind of annual plant with lilac flowers	especie de planta anual del flores azul-moradas	michi-michi; [tipo di pianta annuale con fiori lilla, azzurro-viola]	
11089	Steinschleuder des Hirten	herding sling	honda del pastor	fionda del pastore	
11090	Berg gegenüber Tecoya (Bolivien)	mountain that faces Tecoya	cerro enfrente de Tecoya (Bolivia)	Michitu; [montagna di fronte a Tecoya (Bolivia)]	
11091	hüten; weiden	to graze; to pasture; to watch the herd of sheep; to graze; to shepherd	pastar; pastear; pastorear; apacentar; cuidar el ganado	pascolare	faire paître
11092	regieren	to govern	gobernar	governare	
11093	früh (Pflanze)	early (plant)	precoz (planta); temprano (planta)	precoce; [riferito a pianta]	précoce (plante)
11094	Frühernte	early harvest	siembra temprana	semina precoce	
11095	Ernte früh reifender Früchte, mit Bewässerung	harvest of early-ripening crops watered	siembra usando variedades precoces y con riego; cultivo con riego	semina precoce; [campo coltivato a piante precoci e con rischi]	
11096	früher Maiskolben	early corn cob	choclo temprano	mais precoce	
11097	Mädchen von 14 bis 16 Jahren (heutige Bedeutung) (kritischer Augenblick der Veränderung: Menstruation, Beginn von Liebesbeziehungen)	girl, 14 to 16 years old (meaning today) (critical moment of change: menstruation, beginning of love relations)	niña (mujer) de 14 a 16 años (sentido hoy en día) (momento crítico de cambio: menstruación de la mujer, inicio del enamoramiento)	ragazza; adolescente; [ragazza tra i 14 e 16 anni d'età; momento critico di cambiamento in cui appaiono le mestruazioni]	
11098	Richter	judge	juez	giudice	
11099	Gerechtigkeit; Gleichheit	justice; equality	justicia; igualdad	giustizia; uguaglianza	
11100	richten	to judge	juzgar	giudicare	
11101	geizig; knauserig	mean; miserly; stingy; greedy; poor; tight with money; greedy; stingy	avaro; mezquino; miserable; tacaño; economista; estrecho; cruel; egoísta; cicatero	avaro; miserabile; tirchio; taccagno; economista; crudele; egoista	avare
11102	Geiz; Knauserei	averice; greediness; miserliness; stinginess	avaricia; mezquindad; cicatería; miseria	avarizia	
11103	Geiz; Knauserei	averice; greediness; miserliness; stinginess	avaricia; mezquindad; cicatería; miseria	avarizia	
11104	abhalten von; hindern	to hinder	impedir; escatimar	impedire; intralciare	lésiner; chipoter
11105	geizig; knauserig	mean; miserly; stingy; greedy	avaro; [el que niega, defiende, prohibe]; mezquino; miserable	avaro; miserabile; tirchio; taccagno; [chi proibisce o nega o difende]	
11106	knausern; geizig sein; verbieten	to be greedy; to forbid; to prohibit	mezquinar; prohibir; impedir	essere avaro; proibire; impedire	
11107	sparen mit	to be sparing of	escatimar	intralciare	
11108	Geiz; Knauserei	averice; greediness; miserliness; stinginess	avaricia; mezquindad; cicatería; miseria	avarizia	
11109	knausern; geizig sein	to skimp; to be miserly	mezquinar; mezquinarse; negar por ser avaro; defender; negar algo por tacañería; obrar con mezquindad	essere avaro; proibire; impedire; negare	
11110	Hirte	shepherd	pastor	pastore	
11111	Hirte	shepherd	pastor; el que pasta; que pastorea	pastore	
11112	Mischung; Gemisch; Gemenge	mixture	mezcla; mezcladura; entrevero; confusión; desorden; mezcolanza	miscela; confusione; disordine	
11113	beschmutzt; besudelt; verunreinigt; entehrt	contaminated; contaminated (physically)	ensuciado; tiznado; deshonrado; contaminado	contaminato; sporcato; disonorato	
11114	Mischung	mixture	mezcla	miscela	
11115	mischen	to mix	mezclar; entreverar; confundir; contaminar; contagiar	mischiare; confondere; contaminare; contagiare	
11116	Arzt; Arzt mit Universitätsausbildung	doctor; physician	médico	medico	
11117	besser	better	mejor	migliore	
11118	ausgehungert	famished	hambriento	affamato	
11119	Mechanismus	mechanism	mecanismo	meccanismo	
11120	Sternbild des Geräts zum Graben der Bewässerungsgräben; Wassermann (Sternbild)	Instrument to dig irrigation ditches (constellation); Aquarius (constellation)	constelación del instrumento para aperturar el riego agrícola; Constelación de Acuario	Acquario; [costellazione dello strumento per scavare fossati d'irrigazione; corrisponde all'Acquario]	
11121	Schoß	lap	regazo	grembo	
11122	Schoß (Einheit) (+/- 30 Pfund)	lap (unit) (+/- 30 lb.)	regazo (unidad) (+/- 30 lb.)	regazo; [unità di misura corrispondente più o meno a 30 lb.]	
11123	etwas in der Schürze unterbringen, um es zu transportieren	to get something into the apron to carry it; to carry items in the font of a poncho	poner algo en la falda o delantal para transportarlo	trasportare; [mettere qualcosa nella gonna o davanti a sè per trasportarlo]	
11124	essend	eating	comiendo	mangiando	
11125	ernähren; füttern	to nourish; to feed	alimentar; dar de comer; dar de comer a	alimentare; dare da mangiare	
11126	Fleisch fressend	carnivorous	carnívoro	carnivoro	
11127	wild; lasterhaft	savage; vicious	salvaje; vicioso	selvaggio; vizioso	
11128	essbar	eatable	comestible	mangiabile; commestibile	
11129	Futternapf; Futtertrog	feeding trough; dish; bowl	comedero	mangiatoia	
11130	Essen; Speise	food; meal	comida; alimento; almuerzo; merienda; víveres; previsión; abundancia; manjar; yantar; potaje; vianda	cibo; alimento; pranzo; merenda; viveri; provvigione; abbondanza; [ciò che si mangia]	
11131	Appetit	appetite	apetito	appetito	
11132	Essensreste von gestern	rests of yesterday's meal	comida sobrante de ayer	cibo sovrabbondante	
11133	statt Essen	instead of eating	en lugar de comer	al posto di mangiare	
11134	Bettler	beggar	mendigo	mendicante	
11135	Gib mir Essen!	give me something to eat	déme algo que comer	dammi qualcosa da mangiare	
11136	Esszimmer; Kantine	dining room	comedor	sala da pranzo	
11137	Gaststätte; Kantine; Lokal; Restaurant	restaurant	restaurante	ristorante	
11138	Geh' in die Gaststätte!	go inside the restaurant	entra al restaurante	entra nel ristorante	
11139	wohlschmeckend; lecker	tasty	sabroso	saporito	
11140	Hunger	hunger	apetito; hambre	fame; appetito	
11141	Hunger haben; hungern	to be hungry	tener deseos de comer; tener hambre	avere fame; avere voglia di mangiare	
11142	Schmarotzer, der sich bei allen zum Essen einlädt und selbst niemanden einlädt	bum who invites himself everywhere to eat and comes in without inviting the other	gorrón que se convida a comer con todos y se entra sin convidarle	parassita; [approfittatore che si autoinvita a pranzi e cene]	
11143	wenig essen	to eat little	comer poco	mangiare poco	picorer (manger une faible quantité)
11144	verrotten; verderben	to rot	carcomerse	marcire	
11145	Essen; Speise; Mittagessen	food; midday meal; lunch; diet; food; meal	comida; alimento; almuerzo; cena; alimento; comida; alimentación	pranzo; alimento; cena; cibo	
11146	essen; fressen	to eat; to consume; to eat and digest living energy	comer; almorzar; alimentarse; merendar; comer; alimentarse; socavar; desgastar; alimentarse; devorar	mangiare; pranzare; alimentarsi; fare la merenda; divorare	manger
11147	Körner zum Essen	grains to eat	granos para comer; sementeras para comer	granaglie da mangiare; grani da mangiare	
11148	schlucken; verschlucken	to swallow	tragar	ingoiare	avaler
11149	essbar	eatable	comestible	commestibile	
11150	Nachtisch; Nachspeise	dessert	postre	dessert	
11151	feucht	moist; damp	húmedo	umido	
11152	böses mythisches Wesen, das Kinder raubt	bad mythical being who kidnaps children	ser mítico; malo y perverso que roba niños	mik'ilu; [essere mitologico malvagio e perverso che rapisce i bambini]	
11153	Biberratte; Nagetier (Art)	coypu; kind of rodent	nutria	nutria; [tipo di roditore]	
11154	feucht werden	to become moist	humedecerse; ablandarse con la humedad	inumidirsi; ammorbidirsi per l'umidità	
11155	Giftspinne	poisonous spider	araña venenosa	ragno velenoso; [artropode appartenente all'ordine Araneae]; [tax. reg: Animalia; phy: Arthropoda; cla: Arachnida; ord: Araneae]	
11156	erfahren; erproben	to experience; to find out; to test	experimentar	sperimentare	
11157	handhaben; betasten	to handle; to palpate	manipular; palpar	palpare; manipolare; maneggiare	
11158	Abschnitt mit zwanzig Furchen eines Feldes, zwischen zwei Bewässerungsgräben	section of twenty furrows of a field, between two irrigation furrows	seccion de veinte surcos de una chacra, entre dos surcos de regadío	milqa; [sezione di venti solchi in un campo, compresi tra due canali di irrigazione]	
11159	Ausdehnung; Umfang; Abschnitt; Rahmen; Tabelle	extension; section; segment; paragraph; frame; table (chart)	extensión; párrafo; tramo; barra; cuadro	estensione; sezione; paragrafo; segmento; quadro; cornice; tavola; grafico	
11160	Übersichtstabelle	synoptic table	cuadro sinóptico	quadro sinottico	
11161	Histogramm	histogram	histograma	istogramma	
11162	Säulendiagramm	bar chart	gráfico de barras	grafico a barre	
11163	schlängelnd	winding	serpenteante	serpeggiante	
11164	Verdauungskanal	alimentary canal	canal digestivo; esófago	esofago; canale digestivo	
11165	Ekel	disgust; repulsion; aversion; nausea	asco; repugnancia; aborrecimiento; desagrado; hastío	schifo; disgusto; ripugnanza; nausa; avversione	
11166	Fußrücken; Spann	instep	empeine	caviglia; collo del piede; [parte superiore del piede compresa tra la gamba e la punta delle dita]	
11167	Ekel	disgust; repulsion; aversion; nausea	náusea; asco; repugnancia	schifo; disgusto; ripugnanza; nausa; avversione	
11168	Abstossung	to suffer from repulsion	sufrir de la repulsión; asquear; sentir repugnancia; tener asco; asquearse	avere schifo; avere ripugnanza; avere repulsione	éprouver de la répulsion
11169	anwidern; anekeln; abstoßen; Ekel erregen	to disgust; to repel; to sicken	repugnar; asquear	ripugnare; fare schifo; fare ripugnanza	
11170	abscheulich	abominable; disgusting	asqueroso; aborrecible; feo; repugnante; abominable	schifoso; ripugnante; brutto; abominevole	
11171	abscheulich	abominable; disgusting	asqueroso; aborrecible; feo; repugnante; abominable	schifoso; ripugnante; brutto; abominevole	
11172	verabscheuen	to abominate	abominar; detestar; asquear	detestare; ripugnare	
11173	schlechter Mensch; Böser	badman; bad person	mala persona; malviviente; perverso	persona cattiva; malvivente; perverso	
11174	abscheulich	abominable; disgusting	asqueroso; aborrecible; feo; repugnante; abominable; detestable	schifoso; brutto; ripugnante; detestabile	
11175	Ekel	disgust	asco; repugnancia	ripugnanza; schifo	
11176	anwidern; anekeln; abstoßen; Ekel erregen	to disgust; to repel; to sicken	asquear; dar náusea	fare schifo; dare la nausea; repellere	
11177	sich voreinander ekeln	to feel disgust to each other; to detest each other; to loathe each other	sentir repugnancia mutuamente	provare ripugnanza reciproca; provare disgusto reciproco	
11178	abscheulich	abominable; disgusting	asqueroso; horrible; repugnante	schifoso; orribile; ripugnante	
11179	unangenehm	disgusting; unpleasant	desagradable; feo	cattivo; disgustoso; ripugnante	
11180	Ekel	disgust	asco; repugnancia	schifo; ripugnanza	
11181	sich ekeln (vor); angewidert sein (von)	to feel disgust; to detest; to loathe; to be disgusted	detestar; tener náuseas; tener asco	provare disgusto; detestare; essere disgustato; avere schifo; avere la nausea	
11182	schändlich	disgraceful	infame	infame	
11183	unangenehmer Ehemann	disgusting husband	esposo desagradable	sposo sgradevole	
11184	abscheulich	abominable; disgusting	asqueroso; aborrecible; feo; repugnante; abominable	sgradevole; schifoso; ripugnante; brutto; abominevole	
11185	Abneigung	aversion; disgust	aversión; repugnancia; tedio	avversione; ripugnanza; noia	
11186	beleidigen; verspotten	to insult; to reprimand	insultar; reprender; resondrar	insultare; riprendere	
11187	schlecht; böse; eklig; ekelhaft; hässlich; abstoßend; widerlich; garstig	bad; cruel; abominable; repugnant; dirty; disgusting; filthy; nauseating; ugly; nasty	malo; perverso; cruel; asco; asqueroso; feo; repugnante; despreciable; excesivo; superlativo	malvagio; cattivo; perverso; crudele; schifoso; brutto; ripugnante; disprezzabile eccessivo	
11188	schlecht; böse; eklig; ekelhaft; hässlich; abstoßend; widerlich; garstig	bad; cruel; abominable; repugnant; dirty; disgusting; filthy; nauseating; ugly; nasty; hideous; disagreeable; evil	malo; perverso; cruel; asco; asqueroso; feo; repugnante; despreciable; desagradable; excesivo; superlativo; malvado; perjudicial; inmoral; sucio; asqueroso	malvagio; cattivo; perverso; crudele; schifoso; brutto; ripugnante; disprezzabile eccessivo	
11189	Verbrechen	crime	perversidad; crimen	crimine; perversione	
11190	böser Geist; Dämon	bad ghost; daemon	espíritu del mal; demonio	demonio; spirito del male	
11191	sich ekeln	to feel disgust; to detest; to loathe; to be disgusted	tener asco; dar asco; hastiar	avere schifo; fare schifo	dégoûter; faire horreur; honte (chose révoltante); honteux; répugnant; affreux; désagréable
11192	schädigen; schaden; betrüben	to damage; to worry; to grieve	afligir; dañar	affliggere; danneggiare; preoccupare	
11193	sich ärgern	to be angry	enojarse; malhumorarse; enfurecerse; encolerizarse; afearse	arrabbiarsi; infuriarsi; incollerirsi	
11194	beschmutzen; verunstalten	to dirt; to disfigure; to distort	ensuciar; emporcar; afear	isudiciare; sporcare	
11195	Gift	poison; venom	veneno	veleno	
11196	ein schlechtes Leben führen	to live a bad life	vivir feo	vivere male; [condurre una vita disagiata]	
11197	schlechtes Wesen; schlechter Charakter	bad character	ser malo (como carácter de una persona); inmoralidad; impudicia; deshonestidad; incorrección; fealdad	essere cattivo; [carattere di una persona differente da chi parla]	
11198	Gefängnis	jail; prison	carcel	carcere; prigione	
11199	verabscheuen	to abominate	abominar; detestar	detestare	
11200	Vieleck; Polygon	polygon	polígono	poligono	
11201	teuflisch	devilish	diabólico	diabolico	
11202	sehr geizig; sehr knauserig	excessively miserly	excesivamente mezquino	eccessivamente meschino	
11203	hassen	to hate	odiar	odiare	
11204	vergeben	to forgive	absolver	assolvere	
11205	verderben; verführen	to pervert	pervertir	pervertire	
11206	Fläche	area	área	area	
11207	kalte Mahlzeit	cold food (for travel)	fiambre	razione fredda; cibo freddo; [razione di cibo freddo]	
11208	Milch	milk	leche	latte	lait
11209	krautige Pflanze (Art)	kind of herb	especie de planta herbácea	specie di pianta erbacea	
11210	Wolle	wool; down; wool; spinnable fleece	lana; vello; vellón; pelusa; lanosidad; lana; vello de animal; pelos de animal; lana de oveja	lana; vello; pelo; [riferito ad animale]	laine
11211	Härchen; Flaum	fuzz; soft hair	vello; pluma sutil en las aves	peluria	
11212	scheren	to shear	trasquilar	tosare	
11213	wollig	woollen; woolly; woolen; wooly	lanero	lanoso; di lana	
11214	mit Schimmelpilzen bedeckt werden	to be covered with fungus (mold)	cubrirse de hongos un alimento	coprirsi di funghi; ammuffire; [riferito ad alimento]	
11215	Haare schneiden	to clip hair	cortar el cabello	tagliare i capelli	
11216	haarig; reich an Wolle	hairy; rich of wool	melenudo; lanudo; velloso lanudo; lanudo con mucha lana; peludo con vello; lanudo	capellone; peloso	poilu; velu
11217	wolliges Fell	woolly skin	pellejo lanudo; pellejo de mucha lana	pelle pelosa	
11218	beginnen zu wachsen (Wolle, Haare)	to start growing (wool, hairs)	ir naciendo pelo, lana, vello	cominciare a crescere il pelo; cominciare a crescere la lana; cominciare a crescere i capelli; cominciare a spuntare la lana; cominciare a spuntare i capelli	
11219	wachsen (Wolle, Haare)	to grow (wool, hairs)	nacer lana; pelechar	nascere la lana; spuntare la lana; nascere i capelli; spuntare i capelli	
11220	der Wolle hat	the one who has wool	el que tiene lana; lanudo; con lana	colui che ha la lana; colui che ha i capelli	
11221	Kehlkopf	larynx	laringe; cartílago de la laringe	laringe; cartilagine della laringe	
11222	Speiseröhre	esophagus	esófago	esofago	
11223	etwas ins Wasser tauchen	to plunge into the water	sumergir; zambullir	sommergere; tuffare	
11224	Schlund; Rachen; Kehlkopf; Adamsapfel	pharynx; Adam's apple	faringe; fauces; esófago; bocado de Adán	pomo d'adamo; faringe; esofago	pomme d'Adam
11225	gefräßig	greedy	voraz	vorace	
11226	Schlund; Rachen	pharynx	faringe; fauces; esófago	pomo d'adamo; faringe; esofago	
11227	Schluck	gulp	trago	sorso; boccone	
11228	schlucken; verschlucken; verschlingen	to swallow; to devour; to swallow	tragar; deglutir; ingerir; devorar; engullir	sorseggiare; deglutire; ingerire; divorare; ingoiare	
11229	im Rock getragenes Gepäck; Frauenrock	baggage carried in the skirt; woman's gathered skirt	carga en pollera; falda; pollera	fagotto; carico; [trasportato nella gonna]	
11230	etwas in der Schürze tragen	to carry something in the apron	llevar algo en la falda	trasportare qualcosa; [trasportare un fagotto nella gonna]	
11231	salzig	salty; salted; somewhat; more or less; off-color	salado; salado; cargado de sal; salobre	salato	salé
11232	Aluminumsulfat, vom Medizinmann zur Krankheitsdiagnose verwendet	rock of aluminum sulfate used by witch doctors to diagnose illnesses by its color change when thrown into a fire	sulfato de alúmina	solfato di alluminio; [usato dagli stregoni e sciamani per diagnosticare malattie a seconda del cambiamento di colore quando viene gettato nel fuoco]	
11233	Wollkordel, die zum Festbinden der Sandalen verwendet wird	wool rope used to tie the sandals to the foot	cordel de lana con que se sujetaba la ojota al pie	corda di lana; [usata per legare i sandali ai piedi]	
11234	salzen	to salt	salar	salare	saler
11235	Ulluku (Art Knollengewächs)	ulluku (kind of potato-like plant)	papalisa; papa lisa; melloco; olluco (un tubérculo parecido a la papa)	papalisa; olluco; [tubero simile alla patata]; [tax. bin: Ullucus tuberosus]	
11236	zu gesalzen	too salted	demasiado salado	troppo salato	trop salé
11237	Million	million	millón	milione; [1.000.000]	
11238	zu gesalzen	too salted	demasiado salado	troppo salato	trop salé
11239	Decke aus dicken Wollfäden	blanket made out of thick wool threads	frazada hecha de lana en hilo gordo	copriletto; [è una coperta confezionata con filo di lana grosso]	
11240	Seil aus dicken Wollfäden	rope made out of thick wool threads	soga hecha de lana en hilo gordo	corda datta di lana grossa	
11241	Herstellung von Wollkordeln für Sandalen oder Lassos (Männertätigkeit)	process of spinning wool with a small stick to make thick cords for footwear or lassos (done by men)	fabricación de cordeles de lana para la ojota o para trenzar lazos (hecho por varones)	fabbricazione di lacci di lana; [usati per legare i sandali ai piedi; è un lavoro svolto dagli uomini]	
11242	Aluminumsulfat zur Krankheitsdiagnose verwenden	to use the millu to diagnose a sickness	usar sulfato de alúmina para diagnosticar enfermedades	usare il solfato di alluminio; [per diagnosticare malattie gettandolo nel fuoco ed osservando i cambiamenti di colore]	
11243	Wollkordeln für Sandalen oder Lassos machen	to make wool ropes for sandals or lassos	fabricar cordeles de lana para la ojota o para trenzar lazos; hilar o torcer lana en hilo gordo con un palillo movido a derredor para hacer chusis, frazadas gordas o sogas	torcere lana grossa; filare lana grossa; [i fili vengono usati come lacci per i sandali, per confezionare coperte di lana o corde]	
11244	Geschwindigkeit	speed	velocidad	velocità	
11245	Wolle tragen (Schaf, Lama)	to bear wool (sheep, llama)	tener lana (oveja, llama)	avere lana; [riferito a pecore o lama]	
11246	Wollfaden grob drehen	to twist wool roughly	torcer lana en burdo	torcere lana grossolana	
11247	Bergwerk; Mine	mine	mina	miniera	
11248	Minenarbeiter	miner	minero	minatore	
11249	übermorgen	after tomorrow; day after tomorrow	pasado mañana; el subsiguiente día	dopodomani	après-demain
11250	Abschied (nächste Gelegenheit)	farewell (next occasion)	despedida (próxima ocasión)	arrivederci; [alla prossima occasione]	
11251	der übermorgige Tag	the day after tomorrow	el día de pasado mañana	dopodomani	
11252	innerhalb zwei Jahren	within two years	dentro de dos años	tra due anni	
11253	sich verabschieden	to bid farewell; to say good-bye	despedirse	lasciarsi; darsi l'addio	
11254	Einschlag (Weberei); Schuss (Weberei)	weft; yarn passed through the weave in weaving	trama; hilo que teje contra la trama y entra y sale en la lanzadera y queda encubierto y lo tramado descubierto; trama de tejido	trama; [filo che si tesse contro la trama e entra ed esce dalla bobina e che rimane coperto e scoperto]	
11255	einschlagen (Weberei); Garn durch die Kettfäden führen	to weave the weft; to pass yarn through the weave	tramar; tejer sobre la trama; pasar el hilo tras la urdimbre del tejido	tramare; [passare il filo tra l'ordito del tessuto]	
11256	Schiffchen (Webstuhl), Weberschiffchen; Stock zum Hindurchführen des Fadens (Weberei)	shuttle; stick used to pass yarn through the weave in weaving	lanzadera; palo para pasar el hilo tras la urdimbre del tejido	bobina; fuso del telaio; [paletto per passare il filo attraverso l'ordito del tessuto]	
11257	Schiffchen (Webstuhl), Weberschiffchen; Stock zum Hindurchführen des Fadens (Weberei)	shuttle; stick used to pass yarn through the weave in weaving	lanzadera; palo para pasar el hilo tras la urdimbre del tejido	bobina; fuso del telaio; [paletto per passare il filo attraverso l'ordito del tessuto]	
11258	Mineral	mineral	mineral; minerales	minerale	
11259	Notwendigkeit	necessity	necesidad	necessità	
11260	Notwendigkeit	necessity	necesidad	necessità	
11261	benötigen; brauchen	to need	necesitar	necessitare; avere bisogno	
11262	Spannung des Fadens anpassen nach dem Hindurchführen des Schiffchens zwischen den Kettfäden	to adjust tension with help of tenter after passing shuttle through shed space	ajustar la tensión del hilo por medio del tensor después de pasar la lanzadera entre los hilos de la urdimbre	aggiustare la tensione del filo; [si fa per mezzo del tensore dopo aver passato la bobina attraverso i fili dell'ordito]	
11263	einschlagen (Weberei); Schiffchen zwischen den Kettfäden hindurchführen	to weave the weft; to pass shuttle through shed space	tramar; pasar la lanzadera entre los hilos de la urdimbre	tramare; [passare la bobina tra i fili dell'ordito dell'ordito]	
11264	erschweren; verschlechtern	to aggravate; to complicate	agravar; agravarse	aggravare; complicare	
11265	einschlagen (Weberei); Garn durch die Kettfäden führen (erster Faden, Einschlag)	to weave the weft; to pass yarn through the weave (first thread, weft)	tramar; tejer contra la trama; entremeter o entregerir al primero hilo que es trama tirante; pasar el primer hilo tras la urdimbre del tejido; entramar	tramare; [passare il filo tra l'ordito del tessuto]	
11266	Recht auf Asyl	right of asylum	derecho de asilo	diritto di asilo	
11267	besuchen	visit	visitar	visitare	
11268	Dienst; gegenseitige Arbeitshilfe	service; mutual work given for returned work; a form of local wage labor, intermediate between wage labor and ayni (used primarily for agricultural work and for house construction); collective work party with music and dancing; collective work party where labor is rewarded with food, drink, and other goods but where there is no one-for-one reciprocation of aid at a future date; collective work	servicio; minga; sistema de trabajo prehispánico por el cual no se recibe paga alguna pero quien lo encarga tiene la obligación moral de retribuir en igual forma el beneficio recibido; trabajo comunal; trabajo que se realiza en reciprocidad; el beneficiario paga con un trabajo igual; alquiler de servicios personales; compromiso; convenio para un trabajo; colaborar (trabajo); contrato; invitación a la fiesta del trabajo; minga; trabajo colectivo; servicio personal pagado; trabajo cooperativo; trabajo comunitario; invitación	servizio; minga; servizio reciproco; mutuo lavoro; collaborazione; [sistema di lavoro preispanico per il quale non si riceve alcuna paga per un certo tipo di servizio, ma chi lo commissiona ha l'obbligo morale di restituire il beneficio ricevuto in egual maniera]	salarié; employé
11269	Warenrechnung; Faktur	factura	factura	fattura	
11270	in Rechnung stellen	facturar	facturar	fatturare	
11271	in Rechnung stellen	facturar	facturar	fatturare	
11272	Lade mich ein!; [Gruß beim Eintreten ins Haus]	invite me!; [greeting at going into a house]	¡invíteme!; ¡dé me posada!; [saludo usado al ingresar encasa]	Invitami!; [saluto usato entrando in casa altrui]	
11273	einladen	to invite	invitar	invitare	
11274	Vertrag	contract	contrato	contratto	
