wd_lid,lemma,category,sense,definition
L73081,leku,Q1084,L73081-S3,"norbaitek edo zerbaitek, ingurune, alor, hierarkia eta abarretan duen posizio, zeregin edo garrantzia"
L73081,leku,Q1084,L73081-S4,zerbait gertatzen edo egiten den ingurunea
L73081,leku,Q1084,L73081-S5,"enfasi-perpausetan, urruntasuna adierazteko hitza"
L70977,lekualdaketa,Q1084,L70977-S1,lekualdatzea (ekintza eta ondorioa)
L223837,lekualdatu,Q24905,L223837-S1,"zerbait edo norbait bere tokitik higitu, lekuz aldatu"
L269307,lekuko,Q12259986,L269307-S1,adierazi den lekukoa
L74746,lekuko,Q1084,L74746-S1,"zerbait ikusi edo entzun duelako edo zerbait dakielako, horren berri eman dezakeen pertsona"
L74746,lekuko,Q1084,L74746-S2,"zerbaiten lekukotasuna ematen duen pertsona, bereziki auzi batean"
L74746,lekuko,Q1084,L74746-S3,zerbaiten lekukotasuna ematen duen gauza
L74746,lekuko,Q1084,L74746-S4,(Kir.) errelebo-lasterketetan ekipo bereko lasterkariek elkarri pasatzen dioten objektua
L69396,lekukotasun,Q1084,L69396-S1,"ikusi, entzun, sumatu denaren adierazpena, egia finkatzeko balio duena; lekukoaren adierazpena"
L69396,lekukotasun,Q1084,L69396-S2,zerbaiten lekuko gertatzen den gauza
L223211,lekukotu,Q24905,L223211-S1,"norbait, adierazten den lekuan kokatu, finkatu"
L223212,lekutu,Q24905,L223212-S1,"urrundu, baztertu"
L223212,lekutu,Q24905,L223212-S2,desagertu
L293227,lela,Q7233569,L293227-S1,"janariez mintzatuz, zozoa, zaporerik gabea"
L290080,lelo,Q7233569,L290080-S1,"buruz argia ez dena, ergela, txepela, tentela, adimen gutxikoa"
L63448,lelo,Q1084,L63448-S1,kanta eta abarretan errepikatzen den hitz neurtuzko esaldia
L63448,lelo,Q1084,L63448-S2,kanta
L63448,lelo,Q1084,L63448-S3,askotan errepikatzen den esaldi edo hitza
L63448,lelo,Q1084,L63448-S4,"ospea, entzutea"
L70457,lelokeria,Q1084,L70457-S1,leloari dagokion esana edo ekintza
L224125,lelotu,Q24905,L224125-S1,lelo bihurtu
L224125,lelotu,Q24905,L224125-S2,"kantatu, goraipatu"
L65687,lema,Q1084,L65687-S1,itsasontzien norabidea aldatzeko txopan ezartzen den tresna
L65687,lema,Q1084,L65687-S2,(Aeron.) hegazkinak hiru ardatzetako baten inguruan birarazteko erabiltzen den tresnetako bakoitza
L75465,lemari,Q1084,L75465-S1,lemazaina
L74435,lemazain,Q1084,L74435-S1,"(Itsas.) lema gobernatzen duen marinela, ontzi-gidaria"
L70249,lengoaia,Q1084,L70249-S1,(Inform.) ikur- eta karaktere-multzo finitu batez eta arau-multzo jakin batez gizakiak sortutako zeinu-sistema
L233656,leninismo,Q1084,L233656-S1,"leninen doktrina politikoa, marxismoa oinarri duela garatu dena eta marxismo-leninismo izenaz ezagutzen den doktrina eratu duena"
L293228,leninista,Q7233569,L293228-S1,leninen politika-ideiei dagokiena; Leninen ideien aldekoa
L233657,lentejuela,Q1084,L233657-S1,ezkata distiratsua
L71406,lentilla,Q1084,L71406-S1,ukipen-leiarra
L71132,lentzeria,Q1084,L71132-S1,"arropa zuria oro har; azpiko arropa eta, bereziki, emakumezkoen azpiko jantzi fin eta garestia"
L71132,lentzeria,Q1084,L71132-S2,arropa-mota hori saltzen den denda; denda handietan arropa-mota hori saltzen den tokia
L233684,leonera,Q1084,L233684-S1,"Espainiako mendebaldean hitz egiten den erromantzea. Atzerakada nabaria jasan du azken aldi horretan; Asturias, Cantabria, León, Zamora, Salamanca eta Extremadurako zenbait lekutan eta herri txikietan soilik mintzatzen da"
L233684,leonera,Q1084,L233684-S2,"gaztelaniaren aldaera, Leonen hitz egiten dena"
L184470,leotardo,Q1084,L184470-S1,gimnasta eta trapezistek erabiltzen duten mahukarik gabeko jantzi estua
L184470,leotardo,Q1084,L184470-S2,oinetatik gerrirainoko puntuzko jantzi estua
L233685,leotz,Q1084,L233685-S1,lurpeko kartzela nahiz bertako gela
L233686,lepagora,Q1084,L233686-S1,"lepoan jartzen zen gogortutako oihal-puska edo beste material zurrun batez eginikoa, lepoa tente eramatera behartzen zuena eta klerikoek eramaten zutena"
L62750,lepahori,Q1084,L62750-S1,"(Zool.) 50 cm inguruko gorputz luzanga, hanka motzak eta isats luze eta iletsua dituen ugaztun karniboroa. Ilajea arrea da eta orban horixka bat du paparrean. Animalia txikiz elikatzen da bereziki eta ia Europa osoan bizi da (Martes martes)"
L233687,lepakari,Q1084,L233687-S1,zama garraiatzen duen pertsona
L233688,lepamagal,Q1084,L233688-S1,hainbat animaliaren zintzurretik zintzilikatzen den larru-puska
L233689,lepaorno,Q1084,L233689-S1,(Anat.) lepoaldeko ornoa
L72680,lepape,Q1084,L72680-S1,lepo azpia
L70213,lepauztai,Q1084,L70213-S1,(Anat.) klabikula
L293229,lepidoptero,Q7233569,L293229-S1,"(Zool.) mintzezko bi hego-pare zabal, xurgatzeko moldatutako tronpa, begi konposatuak eta antena luzeak dituzten zenbait intsekturi esaten zaie"
L71134,lepo,Q1084,L71134-S1,"(Anat.) burua enborrari lotzen zaion gorputzaren zatia, gehienetan mehea"
L71134,lepo,Q1084,L71134-S2,gorputz baten zatirik estu eta meheena; ontzien goiko zati meharra
L71134,lepo,Q1084,L71134-S3,"jantzietan, lepoa inguratzen duen zatia"
L71134,lepo,Q1084,L71134-S4,"bi gailurren artean gertatzen den altitude txikiagoko aldea, igarobide izan ohi dena"
L71134,lepo,Q1084,L71134-S5,sorbalda
L71134,lepo,Q1084,L71134-S6,"bizkarra, gorputzaren zatia"
L226355,lepo egin,Q24905,L226355-S1,lepoa moztu
L226096,lepo egon,Q24905,L226096-S1,"bete-beteta egon, goraino egon"
L293230,lepo-oker,Q7233569,L293230-S1,"pertsonez mintzatuz, lepo edo bizkarrean irtengunea duena, konkorduna"
L226269,lepoa egin,Q24905,L226269-S1,apustua egin
L233690,lepoalde,Q1084,L233690-S1,lepoaren ingurua; sorbaldaren ingurua
L233691,lepogain,Q1084,L233691-S1,"lepoaren gainaldea, garondoa"
L61491,lepoko,Q1084,L61491-S1,lepoa inguratuz jartzen den kate-modukoa edo beste zernahi apaingarri
L61491,lepoko,Q1084,L61491-S2,lepoko zapia
L61491,lepoko,Q1084,L61491-S3,"zakur, katu eta abarri lepoan jartzen zaien uhala"
L233692,lepomotz,Q1084,L233692-S1,lepoa motza duena
L61795,lepondo,Q1084,L61795-S1,"garondoa, lepoaren atzeko edo gaineko aldea"
L222755,leporatu,Q24905,L222755-S1,"lepoan hartu edo ezarri, bizkarreratu"
L222755,leporatu,Q24905,L222755-S2,norbait txarra den zerbaiten egile edo erantzuletzat jo
L71698,ler,Q1084,L71698-S1,(Bot.) pinua
L70394,lera,Q1084,L70394-S1,"gurpilik gabeko orga-antzekoa, bi albo-oholen bidez irristatzen dena, elur gainean ibiltzeko, edo belarra eta abar garraiatzeko toki malkartsuetan erabiltzen dena"
L70394,lera,Q1084,L70394-S2,"gurpilen ordez eskiak edo patinak dituen ibilgailua, lera-gisakoa, izotz edo elur gainean labaintzen dena"
L293231,leratsu,Q7233569,L293231-S1,"leraz betea, grinatsua"
L72412,lerde,Q1084,L72412-S1,ahotik jariatzen den listua
L293232,lerden,Q7233569,L293232-S1,"zuzena izanik, luzetasun edo mehetasun egokia edo dotorea duena"
L225663,lerdendu,Q24905,L225663-S1,"lerden bihurtu, lerdentasuna hartu edo eman"
L225663,lerdendu,Q24905,L225663-S2,"zuzendu, zuzen jarri"
L73693,lerdentasun,Q1084,L73693-S1,lerdena denaren nolakotasuna
L293233,lerdetsu,Q7233569,L293233-S1,lerde edo adur asko dariona
L293234,lerdo,Q7233569,L293234-S1,"leloa, ergela, tentela"
L233693,lerdokeria,Q1084,L233693-S1,lerdoari dagokion ekintza
L71073,leria,Q1084,L71073-S1,zabua
L72552,lerma,Q1084,L72552-S1,lermatzea (ekintza eta ondorioa)
L62127,lerrada,Q1084,L62127-S1,"irristada, labainkada"
L71107,lerradura,Q1084,L71107-S1,lerratzea (ekintza eta ondorioa)
L293235,lerrakor,Q7233569,L293235-S1,"erraz lerratzen dena, besteren nahietara erraz jartzen dena"
L233694,lerrakuntza,Q1084,L233694-S1,"lerratzea (ekintza eta ondorioa), irristatzea"
L69966,lerraldi,Q1084,L69966-S1,"lerratzea, norbait lerratzen den aldi bakoitza"
L222995,lerratu,Q24905,L222995-S1,irristatu
L222995,lerratu,Q24905,L222995-S2,zerbaitetara jo
L222995,lerratu,Q24905,L222995-S3,"arreta-eskasiaz edo, huts bat egin"
L71461,lerro,Q1084,L71461-S1,egiazko edo irudizko marra jarraitua
L71461,lerro,Q1084,L71461-S2,"norabide berean jarririk dauden pertsonen edo gauzen segida, errenkada"
L71461,lerro,Q1084,L71461-S3,"maila, kategoria"
L71461,lerro,Q1084,L71461-S4,errenkada zuzen batean idatziriko hitz edo zeinuen segida
L71461,lerro,Q1084,L71461-S5,errepideetako erreia
L71461,lerro,Q1084,L71461-S6,"(Mat.) espazioko puntu-segida, aldagai bakarreko funtzio baten bidez adieraz daitekeena [y = f(x)]"
L233695,lerroarte,Q1084,L233695-S1,(Art. Graf.) testu-lerro batetik hurrengora uzten den tartea
L72615,lerrokada,Q1084,L72615-S1,lerroa; lerroan dauden gauzen zerrenda
L72615,lerrokada,Q1084,L72615-S2,"lerro-multzoa, paragrafoa"
L233696,lerrokadura,Q1084,L233696-S1,lerrokatzea (ekintza eta ondorioa)
L223285,lerrokatu,Q24905,L223285-S1,lerroan edo lerrotan ezarri
L293236,lerromakur,Q7233569,L293236-S1,lerro kurbatuaren forma duena; lerro kurbatuz osatuta dagoena
L293237,lerrozuzen,Q7233569,L293237-S1,lerro zuzenaren forma duena; lerro zuzenez osatuta dagoena
L70305,lertxun,Q1084,L70305-S1,"(Bot.) zuhaitz hostogalkorra, enbor zuzena, azal leuna, hosto zirkular edo obatuak, gerba ar zurixkak eta gerba eme berdexkak dituena. Ia Europa osoan hazten da (Populus tremula)"
L61235,lertxundi,Q1084,L61235-S1,(Bot.) lertxunak dauden tokia edo saila
L63111,lertzo,Q1084,L63111-S1,lohitasuna
L63111,lertzo,Q1084,L63111-S2,(Med.) hortzetako esmaltearen gainean pixkanaka eransten den substantzia horixka
L71242,lesbiana,Q1084,L71242-S1,emakumezko homosexuala
L233697,lesbianismo,Q1084,L233697-S1,emakumezkoen homosexualitatea
L66736,lesio,Q1084,L66736-S1,"(Med.) gorputzeko atal jakin batean sortutako gaitza edo kaltea, jatorri patologikoa (gaixotasunak eragindakoa) edo traumatikoa (istripu, kolpe, bihurdura eta abarren ondoriozkoa) izan dezakeena"
L223308,lesionatu,Q24905,L223308-S1,(Med.) lesioa edota lesioak izan edo eragin
L61058,letagin,Q1084,L61058-S1,"ebakortzen eta aurreko haginen arteko hortza. Oro har, ugaztunek lau izaten dituzte, masailezur-albo bakoitzeko bana, eta besteak baino irtenagoak izaten dira, bereziki hainbat animaliatan"
L62185,letania,Q1084,L62185-S1,"(Erl.) liturgia-otoitza, otoitz-zuzendariak Jainkoari, Ama Birjinari edo santuei oles egin eta otoizgileek lelo errepikatuarekin erantzunez gauzatzen dena"
L233699,letargia,Q1084,L233699-S1,(Biol.) zenbait animaliak hibernatzen daudenean duten loaren antzeko egoera
L233699,letargia,Q1084,L233699-S2,(Med.) lo-egoera patologiko sakon eta etengabea eta gorputzaren erabateko lasaitzea eragiten duena
L293238,letargiko,Q7233569,L293238-S1,(Biol./Med.) letargiari dagokiona; egoera patologiko horretan dagoena
L61426,letoi,Q1084,L61426-S1,"kobreaz eta zinkaz osaturiko aleazioa. Oso xaflakor eta harikorra da, herdoiltzen zaila eta leuntzeko ona"
L71981,letoniera,Q1084,L71981-S1,"Letonian mintzatzen den ekialdeko taldeko hizkuntza baltikoa, bertan ofiziala dena"
L69367,letra,Q1084,L69367-S1,hizkuntza bateko hotsak adierazteko erabiltzen diren zeinu grafikoetako bakoitza; direlako zeinu bakoitzak adierazten duen hotsa bera
L69367,letra,Q1084,L69367-S2,"norberak letrak idazteko duen era berezia, idazkera"
L69367,letra,Q1084,L69367-S3,erabiltzen dituen karaktereen ezaugarri grafikoez bereizten den letra-estiloa
L69367,letra,Q1084,L69367-S4,"literatura-kultura; zientzia eta teknologiaren alorrekotzat jo ohi ez diren jakintza-alorrak (filosofia, historia, filologia eta abar)"
L61161,letradu,Q1084,L61161-S1,abokatua
L261789,letradun,Q34698,L261789-S1,"bereziki letra-sailean, halako jakite-mailara iritsi dena, ikasia"
L293239,letratu,Q7233569,L293239-S1,"letraduna, ikasia"
L225290,letreiatu,Q24905,L225290-S1,hitz baten letrak banaka eta hurrenez hurren izendatu; letraz letra esan
L73457,leukozito,Q1084,L73457-S1,"(Biol.) odoleko eta linfako zelula zurixka, mikroorganismoen aurkako defentsa-funtzioa duena"
L293240,leun,Q7233569,L293240-S1,"larruazalez eta azalez mintzatuz, koskorrik edo zimurrik ez duena, latza ez dena"
L293240,leun,Q7233569,L293240-S2,"lursailez eta eremuez mintzatuz, aldapa edo maldarik gabea, laua"
L293240,leun,Q7233569,L293240-S3,laztasunik edo gogortasunik ez duelako zentzumenei atsegin zaiena
L225485,leundu,Q24905,L225485-S1,"leun edo leunago bihurtu, laztasuna edo gogortasuna galdu edo kendu"
L71813,leungarri,Q1084,L71813-S1,leuntzen duena
L71813,leungarri,Q1084,L71813-S2,"hitzez mintzatuz, gogorregia gerta daitekeenaren ordez erabiltzen dena. Adibidez, alajaina, alajainkoa-ren leungarria da"
L71813,leungarri,Q1084,L71813-S3,"garbiketan, arropa leunagotzeko erabiltzen den produktua"
L72158,leunkeria,Q1084,L72158-S1,"leuntasun gaitzesgarria; bereziki, inoren borondatea bereganatzeko balakua edo losintxa"
L71633,leunketa,Q1084,L71633-S1,leuntzea (ekintza eta ondorioa)
L74574,leuntasun,Q1084,L74574-S1,"leuna denaren nolakotasuna, laztasun edo gogortasunik eza"
L69536,leuzemia,Q1084,L69536-S1,"(Med.) gaixotasun larria, ezaugarri nagusitzat odoleko leukozito edo globulu zurien neurriz gaineko kopurua duena"
L233700,lexema,Q1084,L233700-S1,(Hizkl.) lexiko-alorreko oinarrizko unitatea
L293241,lexikal,Q7233569,L293241-S1,(Hizkl.) lexikoari eta haren egitura edo sorkuntzari dagokiona
L69971,lexiko,Q1084,L69971-S1,"(Hizkl.) hizkuntza batean, edo eskualde bateko hizkera batean, esanahia duten hitzen multzoa"
L69971,lexiko,Q1084,L69971-S2,(Hizkl.) jakintza-alor edo erabilera-eremu jakin bateko hitz berezien multzoa
L69971,lexiko,Q1084,L69971-S3,"(Hizkl.) hiztun edo idazle batek darabiltzan edo erabili ohi dituen hitz, esaera eta abarren multzoa"
L62807,lexikografia,Q1084,L62807-S1,(Hizkl.) hiztegigintza; delako jarduerari dagozkion ezagutza-multzoa eta erabilitako teknika-multzoa
L233701,lexikologia,Q1084,L233701-S1,"(Hizkl.) hizkuntzalaritzaren adarra, hizkuntza baten lexikoaren egitura, osaketa, aniztasuna, sorrera, bilakaera eta abar aztertzen dituena"
L233702,lezio,Q1084,L233702-S1,ikasgaia
L233703,lezka,Q1084,L233703-S1,kanaberen lastoa
L233703,lezka,Q1084,L233703-S2,"(Bot.) monokotiledoneoen klaseko hainbat generotako landareen izen arrunta. Landare bizikorrak izan ohi dira, lerro- edo lantza-formako hostoak, zurtoin zuzen eta garai samarrak dituztenak. Leku heze edo zingiratsuetan hazten dira"
L233704,liana,Q1084,L233704-S1,"(Bot.) tropikoetako zurezko landare igokari luzea, hostoak eta loreak beste zuhaitzen adaburuetan ematen dituena"
L61079,libelo,Q1084,L61079-S1,norbait gaitzetsiz edo kritikatuz egiten den idazkia
L73931,libera,Q1084,L73931-S1,Frantziako diru-unitatea 2002. urtera arte
L73931,libera,Q1084,L73931-S2,"Irlanda (2002. urtera arte), Zipre, Egipto, Libano, Liberia, Malta, Siria eta Sudango diru-unitate nagusia"
L293242,liberal,Q7233569,L293242-S1,pentsaera zabala duena
L293242,liberal,Q7233569,L293242-S2,"politika eta ekonomian, gizabanakoaren askatasunaren aldekoa dena; liberalismoaren aldekoa, alderdi liberaleko kidea"
L62995,liberalismo,Q1084,L62995-S1,(Ekon.) estatuak ekonomian esku ez hartzea defendatzen duen ideologia
L224126,liberatu,Q24905,L224126-S1,"enpresa batean, pertsona bat bere lanordu batzuk edo denak bertako berezko lan-jarduera ez den zeregin batean eman ditzan baimendu"
L290081,liberatu,Q7233569,L290081-S1,zerbait egiteko liberatu den pertsona
L233705,liberdi,Q1084,L233705-S1,libra-erdia
L233706,libero,Q1084,L233706-S1,"(Kir.) futbolean, nagusiki defentsan diharduen jokalaria, aurrelari jakin bat markatzeko ardura ez duena"
L70105,libertate,Q1084,L70105-S1,askatasuna
L233707,libertinaje,Q1084,L233707-S1,libertinoa denaren portaera; lasaikeria
L293243,libertino,Q7233569,L293243-S1,bizimodu eragabe eta lizuna duena
L184435,libido,Q1084,L184435-S1,"(Psikol.) S. Freud-en arabera, sexu-irrikaren energia, sexualitatearen agerpen guztien oinarri dena"
L73772,libra,Q1084,L73772-S1,"pisu-neurria, Euskal Herrian hamazazpi ontza (kilo-erdia baino zerbait gutxiago) balio zuena; gaur egun, kilo-erdia"
L293244,libragarri,Q7233569,L293244-S1,"(Med.) eragin libratzaile arina duen medikamentua. Eskuarki dosi txikitan erabiltzen da, hartara hesteak ez narritatzeko"
L74705,librantza,Q1084,L74705-S1,libratzearen ondorioa
L222885,libratu,Q24905,L222885-S1,askatu
L222885,libratu,Q24905,L222885-S2,"zernahi egoera gaizto, larri edo ezatseginetik atera edo hura saihestu"
L222885,libratu,Q24905,L222885-S3,"hodi edo bide batetik traba, oztopo egiten duena kendu; libre gelditu"
L222885,libratu,Q24905,L222885-S4,hesteetan dagoena hustu; kaka egin
L222885,libratu,Q24905,L222885-S5,(Ekon.) igorri
L222885,libratu,Q24905,L222885-S6,"eman, eskura eman"
L293245,libratzaile,Q7233569,L293245-S1,askatzailea
L293245,libratzaile,Q7233569,L293245-S2,gorputzetik librarazten duena
L233708,librekanbio,Q1084,L233708-S1,(Ekon.) merkataritza askea
L293246,librekanbista,Q7233569,L293246-S1,(Ekon.) librekanbioari dagokiona; librekanbioaren aldekoa
L71133,libreta,Q1084,L71133-S1,"oharrak, kontuak eta abar idazteko koaderno-antzekoa, eta bereziki, banku eta aurrezki-kutxek bezeroari bere diru-kontuak kontrolatzeko ematen dioten koaderno-itxurakoa"
L233709,libreto,Q1084,L233709-S1,(Mus.) kantatutako musika-obra baten testua
L71758,liburu,Q1084,L71758-S1,idatzitako eta irakurtzeko prestatutako orri-multzo aski handia. Ertz batetik orriak bat eginik izaten ditu
L71758,liburu,Q1084,L71758-S2,liburu-eran argitaratutako idatzizko obra
L71758,liburu,Q1084,L71758-S3,Itun Zaharreko testu batzuen izena
L71758,liburu,Q1084,L71758-S4,(Mus.) libretoa
L71758,liburu,Q1084,L71758-S5,"(Ekon./Zuz.) aktak, kontuak, merkataritza-eragiketak eta abar erregistratzeko erabiltzen den orri-multzo elkar-josia"
L74816,liburugintza,Q1084,L74816-S1,liburuak egiteko jarduera edo lanbidea; liburuen fabrikazioa
L63579,liburuki,Q1084,L63579-S1,liburu-bilduma bat argitaratzen den aleetako bakoitza
L233710,liburukote,Q1084,L233710-S1,liburu handia eta lodia
L70685,liburutegi,Q1084,L70685-S1,liburuak jarri edota jasotzen diren tokia
L70685,liburutegi,Q1084,L70685-S2,"liburuak, erosi gabe bertan edo maileguan hartuta irakurri ahal izateko, sailkaturik paratzen edo kokatzen diren eraikina edo gela"
L62787,liburuxka,Q1084,L62787-S1,liburu txikia edo orrialde gutxikoa
L62787,liburuxka,Q1084,L62787-S2,aldizka kaleratzen ez den argitalpen laburra
L71219,liburuzain,Q1084,L71219-S1,"liburutegia zaindu, antolatu eta bertako liburuak sailkatzeaz arduratzen den pertsona"
L70589,lider,Q1084,L70589-S1,"alderdi politiko, mugimendu, talde bateko buru den pertsona; buruzagia"
L70589,lider,Q1084,L70589-S2,"kirol-lehiaketan, sailkapeneko lehen postuan dagoena"
L70589,lider,Q1084,L70589-S3,"garrantzia, salmenta-bolumen eta abarri dagokienez, alor bateko lehendabiziko postuan dagoen enpresa, talde edo produktua"
L233711,lidergo,Q1084,L233711-S1,liderra denaren nolakotasuna
L233712,lifting,Q1084,L233712-S1,(Med.) aurpegiko larruazaleko zimurrak desagerrarazteko egiten den ebakuntza kirurgikoa
L70617,liga,Q1084,L70617-S1,"ardoak, olioak eta beste zenbait likidok eratzen duten hondar lodia"
L223777,ligatu,Q24905,L223777-S1,"pertsona batengana hurbildu, hitz egin, limurtzen saiatu, harekin amodio-kontu edo -afera bat izateko asmoz"
L261807,light,Q34698,L261807-S1,"elikagai eta kontsumo-produktuei buruz, osagai jakin bat (eskuarki kaltegarritzat jotzen dena) kantitate txikiagoan duena"
L261807,light,Q34698,L261807-S2,"arina, mamirik gabea, edukirik gabea"
L73778,lignito,Q1084,L73778-S1,kolore arre-beltza eta % 70 karbono duen harrikatza
L233713,lihazki,Q1084,L233713-S1,litsa
L74189,liho,Q1084,L74189-S1,(Bot.) zurtoin zuzen eta barnetik hutsa eta landare urdinxkak dituen landare belarkara eta urterokoa. Zurtoinaren azaletik ehunak egiteko balio duen zuntza ateratzen da
L74189,liho,Q1084,L74189-S2,delako landaretik ateratako zuntzez eginiko ehuna
L73079,lika,Q1084,L73079-S1,"biska, txoriak harrapatzeko gai itsaskorra, mihuratik eta beste zenbait landaretatik ateratzen dena"
L69843,likatasun,Q1084,L69843-S1,likatsua denaren nolakotasuna
L293247,likatsu,Q7233569,L293247-S1,itsaskorra; likaren antzeko ezaugarriak dituena
L224920,likatu,Q24905,L224920-S1,likan itsatsia gertatu
L224920,likatu,Q24905,L224920-S2,lika bezain itsaskor bihurtu
L66414,liken,Q1084,L66414-S1,"(Bot.) onddo baten eta alga baten sinbiosiaren ondorioz sortutako bizidun konposatua, bi osagaien (onddoaren eta algaren) ezaugarrietatik desberdinak diren ezaugarri fisiologiko eta morfologikoak dituena"
L224368,likidatu,Q24905,L224368-S1,"diru-kontuak egin, zor dena ordaindu, kitatu"
L224368,likidatu,Q24905,L224368-S2,enpresa edo establezimendu bateko finantza-eragiketei amaiera eman
L71763,likidazio,Q1084,L71763-S1,likidatzea (ekintza eta ondorioa)
L233714,likidezia,Q1084,L233714-S1,(Ekon.) ordainbideak eskura edukitzea
L233714,likidezia,Q1084,L233714-S2,"(Ekon.) partikularren, enpresen eta finantza-entitateen aktiboak berehala esku-diru bihurtu ahal izatearen ezaugarria"
L294727,likido,Q7233569,L294727-S1,(Fis.) horrelako ezaugarriak dituen substantziari eta horri dagokion materiaren egoerari esaten zaio
L294727,likido,Q7233569,L294727-S2,"(Ekon.) esku-diru den ondasun-mota; banku, kutxa edo beste edonork duen diruaren saldoa"
L294727,likido,Q7233569,L294727-S3,(Hizkl.) urkaria
L69948,likido,Q1084,L69948-S1,"(Fis.) bolumen jakina duen, baina forma jakinik ez baizik edukitzen duen ontziarena hartzen duen gorputza; ohiko tenperatura eta presiopean horrelako ezaugarriak dituen substantzia"
L69948,likido,Q1084,L69948-S2,"(Ekon.) esku-diru den ondasun-mota; banku, kutxa edo beste edonork duen diruaren saldoa"
L69948,likido,Q1084,L69948-S3,(Hizkl.) urkaria
L294728,likin,Q7233569,L294728-S1,"erraz itsasten dena, likatsua"
L61533,likin,Q1084,L61533-S1,lirdinga
L73418,likiskeria,Q1084,L73418-S1,zikinkeria
L73418,likiskeria,Q1084,L73418-S2,"zikinkeria, lohikeria, lizunkeria"
L224369,likistu,Q24905,L224369-S1,"garbi zegoena zikindu, lohitu, lizundu"
L293248,likits,Q7233569,L293248-S1,"zikina, lohia"
L293248,likits,Q7233569,L293248-S2,lizuna
L70729,likore,Q1084,L70729-S1,"hartzidurarik gabe egiten den graduazio altuko edari alkoholikoa. Batzuk edari alkoholikoak destilatuz eta gero gozatuz lortzen dira, eta beste batzuk fruituak alkoholetan edukiz"
L184415,lila,Q1084,L184415-S1,(Bot.) amañi-lilia
L76176,lili,Q1084,L76176-S1,lorea
L76176,lili,Q1084,L76176-S2,zerbaiten zatirik edo aldirik onena
L293249,liliazeo,Q7233569,L293249-S1,"(Bot.) sarritan erraboila, errizoma edo sustrai tuberkuludunak izaten dituzten eta gehienetan belarkarak izaten diren zenbait landareri esaten zaie (tipula, porrua, baratxuria eta abar)"
L233715,lilipa,Q1084,L233715-S1,(Bot.) landare belarkara eta erraboiladuna. Lerro-formako hostoak eta tutu- edo inbutu-formako lore ikusgarri hori edo zuriak ditu
L225291,lilitu,Q24905,L225291-S1,loratu
L72250,lilura,Q1084,L72250-S1,"gehiegizko argitasunak, une batez, ikusmenean sortzen duen nahastea"
L72250,lilura,Q1084,L72250-S2,"norbaitek edo zerbaitek norbaitengan sortzen duen mirespen handia, egoera atsegin erakargarria"
L72250,lilura,Q1084,L72250-S3,irudipena
L293250,liluragarri,Q7233569,L293250-S1,liluratzen duena
L233716,lilurakeria,Q1084,L233716-S1,"lilura, gaitzesgarritzat hartua"
L74528,liluramendu,Q1084,L74528-S1,lilura
L74513,lilurapen,Q1084,L74513-S1,liluratzea (ekintza eta ondorioa); lilura
L223013,liluratu,Q24905,L223013-S1,gehiegizko argitasunak ikusmena nahasi
L223013,liluratu,Q24905,L223013-S2,"zirrara handia eragiten duen zerbaitek adimena nahasi, gogoa menderatu"
L293251,liluratzaile,Q7233569,L293251-S1,liluratzen duena
L69927,lima,Q1084,L69927-S1,"(Bot.) limondoaren fruitua, azal leun eta horixka eta mami berde eta mikatza dituena"
L69583,limite,Q1084,L69583-S1,(Mat.) funtzio baten aldagai askeak halako baliora hurbildu ahala mendeko aldagaiak jotzen duen balioa
L70281,limoi,Q1084,L70281-S1,"(Bot.) limoiondoaren fruitu jangarria, azal hori, leun edo zakarra eta mami horixka, zuku ugarikoa eta garratza duena"
L61464,limoiondo,Q1084,L61464-S1,(Bot.) azal leuna eta adaburu irekia duen zuhaitz hostoiraunkorra. Hosto obatu eta horzdunak eta lore zuri-arrosa usaintsuak ditu. Fruitua limoia da (Citrus limon)
L68439,limonada,Q1084,L68439-S1,limoi-edaria
L68439,limonada,Q1084,L68439-S2,gaseosa
L233717,limondo,Q1084,L233717-S1,(Bot.) azal leuna eta adaburu irekia duen zuhaitz hostoiraunkorra. Hosto zerradun eta distiratsuak eta lore zuri usaintsuak ditu. Fruitua lima da eta jatorriz asiarra da (Citrus limetta)
L66311,limosna,Q1084,L66311-S1,karitatez ematen den dirua edo zernahi gauza. Bibliak eta kristautasunak erlijiozko zentzua eman izan diote
L293252,limuri,Q7233569,L293252-S1,"labaina, irristakorra"
L293252,limuri,Q7233569,L293252-S2,lizunkerietara emana
L233718,limurkeria,Q1084,L233718-S1,lizunkeria
L293253,limurkor,Q7233569,L293253-S1,"limuria, irristakorra"
L293253,limurkor,Q7233569,L293253-S2,"limurtasunera daramana, limurtasuna sentiarazten duena"
L233719,limurtasun,Q1084,L233719-S1,"limurtzeko, irristatzeko joera (bereziki hedadurazko adieran)"
L233719,limurtasun,Q1084,L233719-S2,zentzumenen atsegina
L223474,limurtu,Q24905,L223474-S1,irristatu
L223474,limurtu,Q24905,L223474-S2,"norbaitek besteren nahia, mirespena edo maitasuna zerbait eginez beregana erakarri, seduzitu"
L223474,limurtu,Q24905,L223474-S3,norbaitek beste norbait zerbait egitera bultzatu
L293254,limurtzaile,Q7233569,L293254-S1,limurtzen duena
L69816,linazi,Q1084,L69816-S1,"(Bot.) lihoaren hazia. Hazia txikituta, libragarri gisa erabiltzen da, eta berarekin egiten den olioa, pintura eta bernizen fabrikazioan"
